Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
ger,,,98.3765309,99.0387354,99.50156651,99.51224722,99.80774708,99.83978923,99.83978923,99.83978923,99.84690971,99.85403019,100,100,,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713,5.144545713
add_relu,,,97.34307961,98.3664389,98.8368028,99.01160019,99.17686318,99.18321945,99.46607341,99.73303671,99.73939298,100,100,100,,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695,18.13125695
view_as,,,100,100,100,100,100,100,100,100,100,100,100,100,,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938,52.21238938
alpha_dropout,,,98.1296198,98.89737412,99.30983787,99.45685466,99.56303345,99.79989382,99.79989382,99.84889942,99.89790501,99.95099441,100,100,,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943,24.25776943
binary_cross_entropy_cpu,,,76.94946974,89.95633188,92.79475983,100,100,100,100,100,100,100,100,100,,46.735288,75.95134124,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881,76.10729881
feature_alpha_dropout,,,96.98049194,98.16793893,98.47752332,99.08396947,99.08396947,99.28329092,99.29177269,99.35114504,99.35114504,99.74130619,99.74130619,100,,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388,23.96098388
reshape_as,,,100,100,100,100,100,100,100,100,100,100,100,100,,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333,55.83333333
hinge_embedding_loss,,,96.13186068,96.59933149,97.05469166,97.71351063,98.11558398,98.22700189,98.83253403,98.99481664,99.22491886,99.66816839,99.91038124,100,,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951,29.38041951
huber_loss,,,98.52707458,98.57248269,98.69735498,98.83357929,98.85628335,98.87331139,99.0946759,99.11170394,99.44375071,99.44375071,99.80417755,100,,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033,17.38279033
_unpack_dual,,,100,100,100,100,100,100,100,100,100,100,100,100,,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032
mul_zerotensor,,,100,100,100,100,100,100,100,100,100,100,100,100,,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688,86.29605688
add_zerotensor,,,95.94182632,98.18207244,98.80855824,99.09383303,99.30079709,99.70074116,99.74269333,99.87134666,99.96364145,99.97203188,99.99720319,100,,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726,10.87959726
l1_loss,,,97.33476665,97.95751937,98.27260259,98.42829077,98.5209623,98.95095822,99.06587093,99.44582422,99.62931386,99.76832116,99.77944175,100,,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994,16.11557994
multilabel_margin_loss,,,93.87042725,94.28930466,94.38704273,94.38704273,94.38704273,95.01535884,95.93688914,96.29991622,97.57051103,98.43619101,99.49734711,100,,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651,35.04607651
prelu_cpu,,,92.52908757,93.08022045,95.89712186,95.89712186,95.89712186,97.1218616,98.22412737,98.77526026,100,100,100,100,,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375,53.58236375
pairwise_distance,,,97.7101267,98.40651901,98.63864977,98.86836251,99.0690589,99.19721443,99.33020602,99.43901731,99.63971371,99.87668053,99.87668053,100,,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326,16.21288326
pixel_shuffle,,,84.91862568,84.91862568,84.91862568,84.91862568,84.91862568,84.91862568,97.32368897,97.32368897,97.32368897,97.32368897,97.32368897,97.32368897,,100,100,100,100,100,100,100,100,100,100,100,100
pixel_unshuffle,,,100,100,100,100,100,100,100,100,100,100,100,100,,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154,67.66169154
poisson_nll_loss,,,93.8720857,96.973675,98.29867675,98.54197297,98.81502485,99.12308339,99.55891619,99.7689561,99.81621508,99.83196807,99.93173703,100,,14.72029686,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494,19.07862494
unsafe_split_with_sizes,,,100,100,100,100,100,100,100,100,100,100,100,100,,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426,64.26426426
soft_margin_loss,,,95.88882035,97.39286621,98.18026779,98.9440836,99.25795566,99.27428426,99.49381327,99.6933851,99.74962807,99.931057,99.99637142,100,,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594,17.97053594
bilinear,,,43.98363107,55.94947667,63.49649799,69.83158889,74.31337058,79.03124262,83.71370111,86.13362713,89.10443063,93.3619265,95.90383253,100,,24.47469898,24.51404738,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548,24.92720548
grid_sampler,,,62.98505089,82.44274809,93.40807888,96.23091603,98.94243003,99.81711196,99.84891858,99.8966285,99.92048346,99.98409669,99.98409669,100,,31.76685751,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379,42.42207379
norm_except_dim,,,93.44866414,97.4357662,98.10113625,98.83816153,99.11454601,99.44723104,99.45234927,99.6058962,99.6058962,99.84645307,100,100,,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419,26.00061419
feature_dropout,,,93.59527595,96.35475812,97.42221213,98.40449693,98.7394958,99.26186691,99.75584829,99.98864411,99.98864411,99.98864411,99.99432205,100,,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452,19.81603452
count_nonzero,,,99.22855649,99.41161088,99.96077406,99.96077406,99.96077406,99.96077406,99.96077406,99.96077406,100,100,100,100,,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845,34.51882845
count_nonzero_cpu,,,99.07131801,99.13084891,99.29753542,99.46422193,99.46422193,99.63090844,99.63090844,99.96428146,99.96428146,100,100,100,,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641,21.34182641
,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,,100,100,100,100,100,100,100,100,100,100,100,100,,49.46694338,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325,50.47834325
median,,,97.33892313,98.4292136,98.95981866,99.4203789,99.49706823,99.78009711,99.79739702,99.88398758,99.97295293,100,100,100,,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902,29.51860902
lower quartile,,,93.68350475,95.46226084,97.0549013,97.82480037,98.55475889,98.83204074,99.07307217,99.20959586,99.4329943,99.74377254,99.86067067,100,,17.78763367,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619,18.01071619
