Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
linear,9921.2,,5557.6,7071.4,7855.6,8497.8,8927.2,9257.6,9439,9510.4,9659.6,9762.6,9833.2,9921.2,,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424
mse_loss,6561.4,,6420.2,6500.6,6525.8,6544.2,6544.8,6546,6546.6,6547,6558.2,6560.2,6560.2,6561.4,,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090
sub,3942.6,,3753.4,3769,3827,3837,3860.8,3880.2,3907.4,3924.2,3933.6,3942.6,3942.6,3942.6,,717,717,717,717,717,717,717,717,717,717,717,717
repeat_interleave,3817,,2999.8,3101.2,3290.2,3386.4,3423.4,3432.4,3457,3545.4,3585.8,3650.8,3748.6,3817,,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132
repeat_interleave_cpu,1217,,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,,550,550,550,550,550,550,550,550,550,550,550,550
_has_compatible_shallow_copy_type,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
unsafe_split,319,,319,319,319,319,319,319,319,319,319,319,319,319,,205,205,205,205,205,205,205,205,205,205,205,205
cosine_similarity,5502.6,,5151.6,5214,5239.4,5287,5312.6,5366.2,5376,5376,5418.2,5439.2,5459.8,5502.6,,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613
embedding,622,,622,622,622,622,622,622,622,622,622,622,622,622,,403,403,403,403,403,403,403,403,403,403,403,403
constant_pad_nd,4822.6,,4543.8,4601.6,4680.6,4733.8,4769.8,4793.6,4806.8,4808.6,4810.6,4810.6,4817.6,4822.6,,580,580,580,580,580,580,580,580,580,580,580,580
_pack_padded_sequence,2825.4,,1989.8,2182.4,2344.2,2439.6,2485.6,2489.6,2500,2520,2536.4,2568.8,2698,2825.4,,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
hardtanh,1886.8,,1708,1763.2,1781.4,1781.6,1818.6,1836.4,1843.2,1849,1855.6,1862,1880.2,1886.8,,312,312,312,312,312,312,312,312,312,312,312,312
type_as,7415.4,,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,7415.4,,392,392,392,392,392,392,392,392,392,392,392,392
outer,5616,,5533.2,5550.8,5565,5581.4,5589.6,5598,5606.8,5606.8,5606.8,5607.2,5615.4,5616,,287,287,287,287,287,287,287,287,287,287,287,287
ger,5617.6,,5526.4,5563.6,5589.6,5590.2,5606.8,5608.6,5608.6,5608.6,5609,5609.4,5617.6,5617.6,,289,289,289,289,289,289,289,289,289,289,289,289
add_relu,6293,,6125.8,6190.2,6219.8,6230.8,6241.2,6241.6,6259.4,6276.2,6276.6,6293,6293,6293,,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
view_as,226,,226,226,226,226,226,226,226,226,226,226,226,226,,118,118,118,118,118,118,118,118,118,118,118,118
alpha_dropout,4897.4,,4805.8,4843.4,4863.6,4870.8,4876,4887.6,4887.6,4890,4892.4,4895,4897.4,4897.4,,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188
binary_cross_entropy_cpu,1923.6,,1480.2,1730.4,1785,1923.6,1923.6,1923.6,1923.6,1923.6,1923.6,1923.6,1923.6,1923.6,,899,1461,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
feature_alpha_dropout,4716,,4573.6,4629.6,4644.2,4672.8,4672.8,4682.2,4682.6,4685.4,4685.4,4703.8,4703.8,4716,,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130
reshape_as,240,,240,240,240,240,240,240,240,240,240,240,240,240,,134,134,134,134,134,134,134,134,134,134,134,134
hinge_embedding_loss,8257.2,,7937.8,7976.4,8014,8068.4,8101.6,8110.8,8160.8,8174.2,8193.2,8229.8,8249.8,8257.2,,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426
huber_loss,7047.2,,6943.4,6946.6,6955.4,6965,6966.6,6967.8,6983.4,6984.6,7008,7008,7033.4,7047.2,,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225
_unpack_dual,186,,186,186,186,186,186,186,186,186,186,186,186,186,,84,84,84,84,84,84,84,84,84,84,84,84
mul_zerotensor,309.4,,309.4,309.4,309.4,309.4,309.4,309.4,309.4,309.4,309.4,309.4,309.4,309.4,,267,267,267,267,267,267,267,267,267,267,267,267
add_zerotensor,7151,,6860.8,7021,7065.8,7086.2,7101,7129.6,7132.6,7141.8,7148.4,7149,7150.8,7151,,778,778,778,778,778,778,778,778,778,778,778,778
l1_loss,10790.8,,10503.2,10570.4,10604.4,10621.2,10631.2,10677.6,10690,10731,10750.8,10765.8,10767,10790.8,,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739
multilabel_margin_loss,1432.4,,1344.6,1350.6,1352,1352,1352,1361,1374.2,1379.4,1397.6,1410,1425.2,1432.4,,502,502,502,502,502,502,502,502,502,502,502,502
prelu_cpu,326.6,,302.2,304,313.2,313.2,313.2,317.2,320.8,322.6,326.6,326.6,326.6,326.6,,175,175,175,175,175,175,175,175,175,175,175,175
pairwise_distance,8271.2,,8081.8,8139.4,8158.6,8177.6,8194.2,8204.8,8215.8,8224.8,8241.4,8261,8261,8271.2,,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341
pixel_shuffle,553,,469.6,469.6,469.6,469.6,469.6,469.6,538.2,538.2,538.2,538.2,538.2,538.2,,553,553,553,553,553,553,553,553,553,553,553,553
pixel_unshuffle,804,,804,804,804,804,804,804,804,804,804,804,804,804,,544,544,544,544,544,544,544,544,544,544,544,544
poisson_nll_loss,11426.4,,10726.2,11080.6,11232,11259.8,11291,11326.2,11376,11400,11405.4,11407.2,11418.6,11426.4,,1682,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180
unsafe_split_with_sizes,333,,333,333,333,333,333,333,333,333,333,333,333,333,,214,214,214,214,214,214,214,214,214,214,214,214
soft_margin_loss,11023.6,,10570.4,10736.2,10823,10907.2,10941.8,10943.6,10967.8,10989.8,10996,11016,11023.2,11023.6,,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
bilinear,5082.8,,2235.6,2843.8,3227.4,3549.4,3777.2,4017,4255,4378,4529,4745.4,4874.6,5082.8,,1244,1246,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
grid_sampler,2515.2,,1584.2,2073.6,2349.4,2420.4,2488.6,2510.6,2511.4,2512.6,2513.2,2514.8,2514.8,2515.2,,799,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067
norm_except_dim,3907.6,,3651.6,3807.4,3833.4,3862.2,3873,3886,3886.2,3892.2,3892.2,3901.6,3907.6,3907.6,,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016
feature_dropout,3522.4,,3296.8,3394,3431.6,3466.2,3478,3496.4,3513.8,3522,3522,3522,3522.2,3522.4,,698,698,698,698,698,698,698,698,698,698,698,698
count_nonzero,3059.2,,3035.6,3041.2,3058,3058,3058,3058,3058,3058,3059.2,3059.2,3059.2,3059.2,,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
count_nonzero_cpu,3359.6,,3328.4,3330.4,3336,3341.6,3341.6,3347.2,3347.2,3358.4,3358.4,3359.6,3359.6,3359.6,,717,717,717,717,717,717,717,717,717,717,717,717
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
