Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
RGBToHSV,10470.2,,10418.4,10430.8,10454.2,10460.4,10469.4,10469.4,10470,10470,10470.2,10470.2,10470.2,10470.2,,,5324.2,5360.2,5364.2,5393,5447.6,5447.6,5448,5449,5473.8,5475.4,5475.4,5502.2,,,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2,1932.2
ResizeBicubic,3591.8,,3191.4,3191.4,3191.4,3192,3192,3192,3192,3192,3243.8,3425.4,3573,3591.8,,,2202.6,2366,2575.4,2693.2,2795.2,2837.4,2966.6,3049.4,3111.6,3216.6,3237.6,3238.8,,,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2,867.2
ResizeBilinear,6564,,4977,5029.4,5968.2,5991.4,6015,6106.2,6275,6321.4,6327.6,6377.2,6540,6564,,,2145.2,2455.6,2595.8,2686.4,2813.8,2887.2,3003.6,3107.4,3145,3171,3208.4,3268.6,,,778,778,778,778,778,778,778,778,778,778,778,778
ResizeNearestNeighbor,5117.8,,3976.6,4875.8,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4975.8,5047.2,5117.8,,,2594.2,2671.8,2832,2927.2,3030.6,3093.8,3132,3234.4,3235.8,3312.4,3381,3450.4,,,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8,1000.8
Abs,6842.6,,6836.2,6842.4,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,,,1288,1288.2,1340,1365.8,1371.2,1396,1419.6,1501.6,1501.6,1527.4,1552.6,1552.6,,,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4,849.4
AddV2,21724.8,,12043.4,13998.8,15423,16618.2,17763.6,18423,19108,19555.6,19995.6,20356.2,21118,21724.8,,,3686,4186.6,4585.4,4896,5199,5474.8,5717.4,5870,6046.6,6069,6132.4,6143.8,,,824.2,824.2,824.2,824.2,824.2,824.2,824.2,824.2,824.2,824.2,824.2,824.2
All,7678.8,,6848.4,6909.8,7004.2,7126.2,7277,7409.2,7454.8,7504,7572.2,7576.6,7601.4,7678.8,,,1408,1521.8,1651.4,1751.2,1808.6,1891,1916.6,1951.8,2003,2096.2,2111.4,2111.8,,,1159.6,1159.6,1159.6,1165,1165,1165,1165,1165,1165,1165,1165,1165
Asin,6555,,6554.6,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,,,1198,1232.4,1233.4,1234.2,1234.2,1238.2,1238.2,1238.2,1238.2,1239,1239,1239,,,784.6,784.6,784.6,784.6,784.6,784.6,784.6,784.6,784.6,784.6,784.6,784.6
Asinh,6515.4,,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,,,641,1180.2,1183.4,1184.2,1191.4,1217.6,1221.6,1225.6,1225.6,1225.6,1225.6,1225.6,,,539,539,539,539,539,539,539,539,539,539,539,539
Atan,6594.6,,6592.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,,,951,1264.2,1268,1272.6,1279.8,1285,1285,1285,1285,1285.4,1285.4,1285.6,,,576.8,576.8,576.8,576.8,576.8,576.8,576.8,576.8,576.8,576.8,576.8,576.8
Atanh,6578.8,,6568.6,6577.6,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,,,1274.6,1280.6,1284.6,1285,1285.4,1311.2,1311.2,1311.4,1336.6,1336.6,1336.6,1336.6,,,824.8,824.8,824.8,824.8,824.8,824.8,824.8,824.8,824.8,824.8,824.8,824.8
ComplexAbs,5985,,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,,,978.6,978.6,978.6,978.6,978.6,982,985.4,985.4,985.4,985.4,988.8,988.8,,,549,549,549,549,549,549,549,549,549,549,549,549
Cumsum,11549.8,,10720.4,11023.8,11106,11323.6,11349.6,11370.4,11399.2,11413,11475.6,11523.4,11525.6,11549.8,,,6144.4,6586.2,6959.6,7022,7033.6,7057.4,7097,7201.6,7227.6,7238,7267.8,7297.4,,,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8,1429.8
Div,20068.4,,11916.6,14619,15865.6,16730.6,17148.8,17564.6,18031,18759.6,19183.2,19341.2,19827.4,20068.4,,,1580.4,2150,2281,2510.4,2768.6,3066.6,3358.4,3402.4,3596.6,3716.2,3830.8,4007.6,,,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4,1270.4
Exp,6615.2,,6614.8,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,,,1176.8,1209,1211.8,1237.2,1264.6,1264.6,1290,1290,1315.2,1345.8,1371.8,1371.8,,,632.6,632.6,632.6,632.6,632.6,632.6,632.6,632.6,632.6,632.6,632.6,632.6
Expm1,6593,,6592.2,6592.6,6592.6,6592.6,6592.6,6592.6,6592.6,6593,6593,6593,6593,6593,,,1159.8,1188,1189.2,1190.8,1190.8,1241.6,1242.8,1273,1297.8,1297.8,1323,1354.8,,,684.8,684.8,684.8,684.8,684.8,684.8,684.8,684.8,684.8,684.8,684.8,684.8
Floor,6125.4,,6121.4,6121.4,6121.4,6123.4,6123.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,,,970.4,997.2,1023,1074.6,1100.2,1100.4,1100.4,1100.8,1101,1102.2,1102.2,1102.6,,,893.6,893.6,893.6,893.6,893.6,893.6,893.6,893.6,893.6,893.6,893.6,893.6
FloorMod,20043.2,,11045.4,13348.4,14830.8,15817.2,16960.4,17571,18467.2,18697.4,19004.6,19461.6,19747.6,20043.2,,,793.4,1010.2,1221,1537,1688.4,1813,1940.6,2160.2,2285.8,2352.4,2410,2411.8,,,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8,1114.8
Inv,6634.2,,6632.4,6634,6634,6634,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,,,1180.4,1206.4,1231.2,1256.6,1306.8,1306.8,1382.6,1382.8,1382.8,1382.8,1383,1383.4,,,634.2,634.2,634.2,634.2,634.2,634.2,634.2,634.2,634.2,634.2,634.2,634.2
LessEqual,20695.8,,12036.6,13835,14916.4,15922.4,17171.4,17814.4,18600.8,18911.2,19620.8,19990.2,20412.8,20695.8,,,5519.4,6413.8,6920.8,7508.2,7725,7921,8129.6,8168.6,8280.2,8347.4,8482.4,8542.6,,,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
Lgamma,5877.4,,5875.2,5875.4,5875.4,5875.4,5875.4,5875.4,5877.4,5877.4,5877.4,5877.4,5877.4,5877.4,,,790,816.6,816.8,841.6,841.6,842.2,918.6,944,994,1044.2,1044.2,1044.2,,,569,569,569,569,569,569,569,569,569,569,569,569
LogicalAnd,8245.8,,7680.8,7912.2,7946,8156.8,8186.8,8205.4,8211,8227.4,8238.8,8243.8,8244.6,8245.8,,,1321.4,1360.8,1414.2,1451.6,1570.8,1628.8,1651.6,1678.2,1680.2,1686.8,1687,1705.8,,,942,942,942,942,942,942,942,942,942,942,942,942
LogicalOr,8218.4,,7460.8,7682.2,7811.6,7938.4,7951.4,8041.8,8074.8,8163.6,8182.4,8191.8,8194.2,8218.4,,,1354.2,1398.4,1469,1550.4,1605.4,1638.8,1638.8,1708.8,1726.4,1743.6,1743.8,1743.8,,,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036
MatMul,15320.8,,9333.4,9852.6,10542.2,11380.2,12263.2,12739.4,13375.2,14549.4,14986.6,15157,15258.8,15320.8,,,2244.6,2663.2,2667,2703.4,2809.6,2831,2886.8,2906.8,2911.8,2926,2931,2939.2,,,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8,1745.8
Max,9803,,8174.6,8378.8,8535.8,8834.4,8980.4,9111.6,9229.8,9335,9373,9427.4,9433,9595.6,,,8215.4,8846.8,9123.2,9279.8,9425.6,9500.4,9559.8,9590.2,9593.6,9655,9676.6,9803,,,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8,1859.8
Mean,13358.8,,8149.6,8450.6,8641.6,8786.2,8950.4,9061.4,9264.4,9337.4,9558.2,9698.4,9932.2,10097,,,11024.2,12058.6,12391.2,12513.4,12702.2,12832.2,13028.2,13105.4,13199.6,13283.4,13335.6,13358.8,,,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8,1921.8
Mod,11741.4,,8351.2,9328.6,9833.6,10402,10675.4,10946.2,11029.2,11184.8,11408.8,11598,11630,11741.4,,,1544.8,1681.2,1787.2,1844,1900,1919.8,2072,2110.6,2155.4,2329.2,2354.4,2400.4,,,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8,1189.8
MulNoNan,13909.8,,9631.6,10564.2,11351.2,11768.8,11987.6,12265.2,12728.8,12832,13297.2,13589,13848.2,13909.8,,,1892.4,2306.2,2760.8,2990.4,3230.2,3268.8,3394,3448.6,3465.4,3536.4,3556.4,3625,,,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4,1103.4
Pow,17773.2,,10468.4,12744.8,13855.6,14443.6,14817.6,15157.2,15940.8,16593,16772.8,17140.4,17591.2,17773.2,,,3262.4,3927.6,4249.4,4446.6,4610.8,4701,4878.6,4943.6,4953,5035.2,5054.6,5074.6,,,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8,1056.8
Prod,9548.2,,8022.8,8222.6,8305.2,8520.2,8650.8,8802.2,8949.8,9174.2,9289.8,9338,9491.4,9548.2,,,7665.6,8068.8,8324.2,8449.2,8618,8777.2,8861.2,9034.8,9117.4,9167.4,9227.4,9353.4,,,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8,1993.8
RealDiv,12828,,8871.8,9646,10170.6,10631.6,10780,11198,11661.8,11968.8,12094.4,12254.8,12672.4,12828,,,1570.6,1910.2,2104.2,2163,2263,2354.4,2499.8,2527.4,2647.6,2870,2928.6,3021.4,,,931,931,931,931,931,931,931,931,931,931,931,931
Reciprocal,6630.4,,6626.2,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,,,1205.8,1206.4,1231.2,1256.6,1306.8,1358.4,1358.4,1358.4,1389.2,1389.6,1414.8,1414.8,,,766.6,766.6,766.6,766.6,766.6,766.6,766.6,766.6,766.6,766.6,766.6,766.6
