Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
BroadcastTo,,,71.19790669,73.89431361,76.7183611,79.16427341,80.74542089,81.96438828,82.70310805,83.58223243,83.7338056,85.14742485,86.01059417,87.32848299,,,82.67598443,86.56423511,89.69142894,92.07032995,93.90994958,94.12374753,95.43365882,95.9059289,97.35943583,98.97727998,99.60590976,100,,,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988,9.386367988
DepthToSpace,,,13.67740731,25.45323036,58.48246576,78.92158006,84.24834924,97.64343545,99.96500152,99.96733475,100,100,100,100,,,9.288597494,12.50845797,13.89439791,15.3200028,16.0876362,16.45628689,17.08859283,17.25191908,18.0708836,18.09421592,18.16654612,18.34853823,,,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997,7.384679997
DiagPart,,,99.90918723,99.90918723,99.90918723,99.93945815,99.96972908,99.96972908,99.96972908,99.96972908,99.96972908,100,100,100,,,27.67973362,35.74693507,38.40774936,42.47616165,45.46390192,48.86029968,49.78961707,50.73406993,51.41213864,52.81368246,53.73391857,55.00529741,,,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868,8.342666868
ExpandDims,,,99.68142224,99.8106356,99.87524228,99.87747009,99.89974826,99.92870987,99.94207677,99.94207677,99.99777218,99.99777218,100,100,,,6.547552744,7.957760599,8.240693297,8.588232673,8.592688306,9.149642435,9.470448014,9.470448014,10.03631341,10.03631341,10.03631341,10.04076904,,,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314,7.973355314
Gather,,,97.36934804,97.90195996,98.29085119,98.71778614,98.8445985,98.98831917,99.05172535,99.48006932,99.52234011,99.63083513,99.7421482,100,,,28.78640572,30.57164194,31.09720872,31.53823393,31.64250187,31.85949191,32.03562018,32.21597554,32.93457891,33.0092573,33.2403376,33.44887348,,,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196,9.306618196
GatherNd,,,89.95098609,92.33083231,93.34595461,94.70951706,95.53648168,96.24846106,96.44707194,97.95814072,98.47499361,98.97558596,99.42971962,100,,,29.98327487,34.70928477,38.00436712,39.52356617,41.25415225,41.88482892,42.59448535,43.92320379,44.82101791,45.36806894,46.18109596,46.40758206,,,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453,7.44500453
MatrixBandPart,,,95.21590937,96.64549668,97.39829823,97.80780265,98.04565852,98.22466345,98.8131728,99.02405532,99.37961306,99.41639489,99.75969201,100,,,63.63012187,65.66783551,66.3814031,68.27444153,69.38770506,69.9639538,70.8982124,70.93744636,71.56764179,71.79078492,72.32534759,72.79370295,,,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729,16.26492729
MatrixDiag,,,99.69655556,99.92819254,100,100,100,100,100,100,100,100,100,100,,,27.84739756,34.9354891,39.8577749,42.46600727,44.59011837,46.40151954,48.32642283,50.21889694,50.80262213,51.82414121,52.39860091,53.28345417,,,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787,9.200620787
MatrixDiagPartV2,,,80.25235122,82.95463378,85.88491334,87.73479804,87.76329767,87.76329767,93.62644765,95.87791797,95.91159935,95.99450735,98.67606291,100,,,37.9511361,46.62279452,53.40570511,57.77392025,61.45555354,62.73026401,63.88579423,67.3420214,69.51576547,70.94592844,72.50304428,72.59631578,,,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463,10.40754463
MatrixDiagPartV3,,,75.65358578,78.91738676,80.84649678,91.12499312,91.89278441,92.47344378,93.40635148,95.12906599,97.11321482,98.24151026,98.83042545,100,,,40.34069019,49.13864274,52.87577742,57.58434696,62.62314932,67.39776542,69.20579008,71.77059827,73.7547471,76.72133854,78.16885905,78.89537124,,,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358,13.62210358
MatrixDiagV2,,,25.91613454,30.01586204,34.15219425,34.45316631,38.68711107,38.69117826,38.69117826,38.69117826,38.82132834,38.82132834,38.82539553,47.10212714,,,52.95481352,59.82429739,66.25045756,74.40110628,79.54203441,83.12522878,88.50205393,89.67747183,93.35014439,97.01468256,98.00300972,100,,,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163,17.03339163
Pad,,,28.40450599,28.40450599,46.94328782,48.98808947,52.57900003,55.66799006,57.12372099,58.51651012,60.6823537,70.54485007,71.79238888,76.54530196,,,53.78296375,66.98137568,75.95945902,81.85339402,85.85261935,86.97911623,90.93315258,92.17746361,94.08347051,95.96042736,97.80672025,100,,,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205
Where,,,98.83109169,99.58207815,99.81755696,99.93847851,99.98514999,99.98514999,99.98727142,99.98727142,100,100,100,100,,,15.63918707,19.90114133,21.94195766,23.07268022,24.6679961,25.2556324,26.24634053,26.4860622,27.55102041,27.8819636,28.7602359,29.13572914,,,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044,8.186601044
ZerosLike,,,99.92624689,100,100,100,100,100,100,100,100,100,100,100,,,32.16250269,32.51282997,32.9860791,32.99222519,33.80043637,33.80350942,34.19071325,35.73952859,35.74260164,36.12980548,36.51700931,36.51700931,,,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923,15.67560923
AdjustSaturation,,,99.962781,99.962781,99.962781,99.962781,99.962781,99.962781,100,100,100,100,100,100,,,29.79752866,33.91767158,37.28226887,40.69525086,42.4147685,46.58329611,50.53223165,52.82864374,55.53074289,56.94506476,58.48593122,60.81211851,,,11.943576,11.943576,11.943576,11.943576,11.943576,11.943576,11.943576,11.943576,11.943576,11.943576,11.9472979,11.9472979
ExtractGlimpse,,,22.78838053,22.78838053,22.78838053,22.78838053,22.78838053,22.78838053,38.26880105,38.27246419,38.27246419,38.28711674,38.29444302,38.29444302,,,74.47159237,80.49012784,87.12040734,91.06194366,92.54185135,94.14630573,95.69947617,96.85702773,98.22704128,98.73988058,99.14648888,100,,,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282,30.92787282
HSVToRGB,,,99.64938456,99.85328857,99.96518712,99.99502673,99.99502673,99.99502673,99.99502673,99.99502673,99.99502673,100,100,100,,,34.63881636,34.63881636,35.26793485,35.58622405,35.59617058,36.23274897,36.23274897,36.85938083,37.17518339,37.48352605,37.49347258,37.49844585,,,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533,19.58970533
RGBToHSV,,,99.50526255,99.62369391,99.84718535,99.90640102,99.99235927,99.99235927,99.99808982,99.99808982,100,100,100,100,,,50.85098661,51.19481958,51.23302325,51.50808963,52.02956964,52.02956964,52.03339,52.04294092,52.27980363,52.2950851,52.2950851,52.55104965,,,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977,18.45427977
ResizeBicubic,,,88.85238599,88.85238599,88.85238599,88.86909071,88.86909071,88.86909071,88.86909071,88.86909071,90.31126455,95.36722535,99.47658556,100,,,61.32301353,65.8722646,71.70221059,74.98190322,77.82170499,78.99660337,82.59368562,84.89893647,86.63065872,89.55398407,90.13864915,90.17205858,,,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329,24.14388329
ResizeBilinear,,,75.8226691,76.62096283,90.92321755,91.27666057,91.63619744,93.02559415,95.59719683,96.30408288,96.39853748,97.15417428,99.63436929,100,,,32.6812919,37.41011578,39.54600853,40.92626447,42.86715417,43.98537477,45.75868373,47.34003656,47.91285801,48.30895795,48.87873248,49.79585619,,,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895,11.85252895
ResizeNearestNeighbor,,,77.70135605,95.27140568,96.00218844,96.00218844,96.00218844,96.00218844,96.00218844,96.00218844,96.00218844,97.22537028,98.620501,100,,,50.6897495,52.20602603,55.33627731,57.1964516,59.21685099,60.45175661,61.19817109,63.19903083,63.22638634,64.72312322,66.06354293,67.41959436,,,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766,19.55527766
Abs,,,99.9064683,99.99707713,100,100,100,100,100,100,100,100,100,100,,,18.82325432,18.82617718,19.58319937,19.96024903,20.0391664,20.40160173,20.74649987,21.94487476,21.94487476,22.32192441,22.69020548,22.69020548,,,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011,12.41341011
AddV2,,,55.43618353,64.43695684,70.99259832,76.49414494,81.76646045,84.80170128,87.95477979,90.01509795,92.04043305,93.70028723,97.20687877,100,,,16.9667845,19.27106349,21.10675357,22.53645603,23.93117543,25.2006923,26.31738842,27.01981146,27.83270732,27.93581529,28.22764767,28.28012226,,,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887,3.793820887
All,,,89.18581028,89.98541439,91.21477314,92.80356306,94.76741157,96.48903475,97.08287753,97.72360265,98.61176225,98.66906287,98.99203,100,,,18.33619836,19.81820076,21.50596447,22.80564672,23.55315935,24.62624368,24.95962911,25.41803407,26.08480492,27.29853623,27.49648383,27.50169297,,,15.10131791,15.10131791,15.10131791,15.1716414,15.1716414,15.1716414,15.1716414,15.1716414,15.1716414,15.1716414,15.1716414,15.1716414
Asin,,,99.99389779,100,100,100,100,100,100,100,100,100,100,100,,,18.2761251,18.80091533,18.81617086,18.82837529,18.82837529,18.88939741,18.88939741,18.88939741,18.88939741,18.90160183,18.90160183,18.90160183,,,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894,11.96948894
Asinh,,,100,100,100,100,100,100,100,100,100,100,100,100,,,9.838229426,18.11400681,18.16312122,18.17539982,18.28590724,18.68803143,18.74942444,18.81081745,18.81081745,18.81081745,18.81081745,18.81081745,,,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739,8.272707739
Atan,,,99.96967216,100,100,100,100,100,100,100,100,100,100,100,,,14.42088982,19.17023019,19.22785309,19.29760713,19.40678737,19.48563977,19.48563977,19.48563977,19.48563977,19.49170533,19.49170533,19.49473812,,,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208,8.746550208
Atanh,,,99.84495653,99.98175959,100,100,100,100,100,100,100,100,100,100,,,19.37435399,19.46555603,19.52635739,19.53243753,19.53851766,19.93068645,19.93068645,19.93372652,20.3167751,20.3167751,20.3167751,20.3167751,,,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083,12.53724083
ComplexAbs,,,100,100,100,100,100,100,100,100,100,100,100,100,,,16.35087719,16.35087719,16.35087719,16.35087719,16.35087719,16.40768588,16.46449457,16.46449457,16.46449457,16.46449457,16.52130326,16.52130326,,,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331,9.172932331
Cumsum,,,92.81892327,95.44580859,96.15750922,98.04152453,98.26663665,98.44672635,98.69608132,98.81556391,99.35756463,99.77142461,99.79047256,100,,,53.1991896,57.02436406,60.25732047,60.79758957,60.89802421,61.10408838,61.44695146,62.35259485,62.57770697,62.66775182,62.92576495,63.18204644,,,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514,12.37943514
Div,,,59.37992067,72.84586713,79.05762293,83.36788184,85.451755,87.52366905,89.84772079,93.4783042,95.58908533,96.37639274,98.79910705,100,,,7.87506727,10.71336031,11.36612784,12.50921847,13.7958183,15.28073987,16.7347671,16.95401726,17.92170776,18.51766957,19.08871659,19.96970361,,,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202,6.330350202
Exp,,,99.99395332,100,100,100,100,100,100,100,100,100,100,100,,,17.78933366,18.27609143,18.31841819,18.70238239,19.11658,19.11658,19.5005442,19.5005442,19.88148506,20.34405611,20.73709034,20.73709034,,,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009,9.562825009
Expm1,,,99.98786592,99.99393296,99.99393296,99.99393296,99.99393296,99.99393296,99.99393296,100,100,100,100,100,,,17.5913848,18.01911118,18.0373123,18.06158046,18.06158046,18.83209465,18.85029577,19.30835735,19.68451388,19.68451388,20.06673745,20.54906719,,,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385,10.38677385
Floor,,,99.93469814,99.93469814,99.93469814,99.96734907,99.96734907,100,100,100,100,100,100,100,,,15.84223071,16.27975316,16.70095014,17.54334411,17.961276,17.96454109,17.96454109,17.97107128,17.97433637,17.99392693,17.99392693,18.00045711,,,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504,14.58843504
FloorMod,,,55.10796679,66.598148,73.99417259,78.91554243,84.61922248,87.66564221,92.13698411,93.28550331,94.8181927,97.09826774,98.5251856,100,,,3.958449749,5.040113355,6.091841622,7.668436178,8.423804582,9.045461803,9.682086693,10.77772012,11.40436657,11.73664884,12.0240281,12.0330087,,,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611,5.56198611
Inv,,,99.97286787,99.99698532,99.99698532,99.99698532,100,100,100,100,100,100,100,100,,,17.79265021,18.1845588,18.55837931,18.94124386,19.69792891,19.69792891,20.8404932,20.84350788,20.84350788,20.84350788,20.84652256,20.85255193,,,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033,9.559555033
LessEqual,,,58.15962659,66.84931242,72.0745272,76.93541685,82.97045777,86.07736835,89.87717315,91.37699437,94.80570937,96.59061259,98.63257279,100,,,26.66917925,30.99082906,33.44060147,36.27885851,37.32641406,38.27346611,39.28140009,39.46984412,40.00908397,40.33378753,40.9860938,41.27697407,,,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966,5.368238966
Lgamma,,,99.96256848,99.96597135,99.96597135,99.96597135,99.96597135,99.96597135,100,100,100,100,100,100,,,13.44131759,13.89389866,13.89730153,14.31925681,14.31925681,14.32946541,15.62935992,16.0615238,16.91224011,17.76635927,17.76635927,17.76635927,,,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153,9.68115153
LogicalAnd,,,93.14802687,95.95430401,96.36420966,98.92066264,99.28448422,99.5100536,99.57796697,99.7768561,99.9151083,99.97574523,99.98544714,100,,,16.02512794,16.50294695,17.15054937,17.60411361,19.04969803,19.75308642,20.02959082,20.35217929,20.37643406,20.45647481,20.45890029,20.68689515,,,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767,11.42399767
LogicalOr,,,90.78166066,93.47561569,95.05013141,96.59301081,96.75119245,97.85116324,98.25270126,99.33320354,99.56195853,99.67633603,99.70553879,100,,,16.47765989,17.01547747,17.87452546,18.86498589,19.53421591,19.94062105,19.94062105,20.79236834,21.00652195,21.21580843,21.21824199,21.21824199,,,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002,12.60586002
MatMul,,,60.91979531,64.30865229,68.80972273,74.279411,80.04281761,83.15101039,87.30092423,94.96501488,97.81865177,98.93086523,99.59532139,100,,,14.65067098,17.38290429,17.40770717,17.64529267,18.33846797,18.47814736,18.8423581,18.97289959,19.00553496,19.09821941,19.13085479,19.18437679,,,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632,11.39496632
Max,,,83.38875854,85.47179435,87.07334489,90.11935122,91.60869122,92.94705702,94.15281036,95.22595124,95.61358768,96.16851984,96.22564521,97.88432113,,,83.80495767,90.24584311,93.06538815,94.66285831,96.15015811,96.91318984,97.5191268,97.82923595,97.86391921,98.49025808,98.7105988,100,,,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334,18.97174334
Mean,,,61.00547953,63.25867593,64.68844507,65.77087762,67.00002994,67.8309429,69.35054047,69.89699674,71.54983981,72.59933527,74.34949247,75.58313621,,,82.52387939,90.26708986,92.75683445,93.67158727,95.08488786,96.05802916,97.52522682,98.10312304,98.80827619,99.43557805,99.82633171,100,,,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227,14.3860227
Mod,,,71.12610081,79.45049142,83.75151174,88.59250175,90.92101453,93.22738345,93.93428382,95.25950909,97.1672884,98.77868057,99.05122047,100,,,13.15686375,14.31856508,15.2213535,15.70511183,16.18205665,16.35069072,17.64695863,17.97570988,18.35726574,19.83749808,20.05212326,20.44389936,,,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421,10.13337421
MulNoNan,,,69.24326734,75.94789285,81.60577435,84.60797423,86.18096594,88.17668119,91.50958317,92.25150613,95.5959108,97.69371235,99.55714676,100,,,13.60479662,16.57967764,19.84787704,21.49851184,23.22247624,23.49997843,24.40006326,24.79259227,24.91337043,25.42380192,25.56758544,26.06076292,,,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773,7.932536773
Pow,,,58.89991673,71.7079648,77.95782414,81.26617604,83.3704679,85.28120991,89.6900952,93.35966511,94.37130061,96.43958319,98.97598632,100,,,18.3557266,22.09844035,23.90903158,25.01856728,25.94243018,26.44993586,27.44919317,27.81491234,27.86780096,28.33029505,28.43944816,28.55197713,,,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103,5.946031103
Prod,,,84.02421399,86.11675499,86.98183951,89.23357282,90.60136989,92.18700907,93.73285017,96.08303136,97.29373076,97.79853794,99.40512348,100,,,80.28319474,84.50598018,87.18082989,88.48997717,90.25784965,91.92517962,92.80492658,94.62307032,95.48815484,96.01181374,96.64020444,97.95982489,,,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268,20.88142268
RealDiv,,,69.15965076,75.19488619,79.28437792,82.8780792,84.0349236,87.29342064,90.90894917,93.30215154,94.28125974,95.53164952,98.78702838,100,,,12.24352978,14.89086374,16.40318054,16.86155285,17.6410976,18.3536015,19.48705956,19.70221391,20.63922669,22.37293421,22.82974743,23.55316495,,,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584,7.257561584
Reciprocal,,,99.93665541,100,100,100,100,100,100,100,100,100,100,100,,,18.18593147,18.19498069,18.56901544,18.95209942,19.70921815,20.48745174,20.48745174,20.48745174,20.95197876,20.95801158,21.33807915,21.33807915,,,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672,11.56189672
Round,,,99.99083522,99.99083522,99.99083522,99.99083522,99.99083522,99.99083522,99.99083522,99.99083522,99.99083522,100,100,100,,,19.27964807,19.49043808,19.49654793,19.90590823,19.90590823,19.91507301,20.4344107,20.44052056,20.44052056,20.44052056,20.44052056,20.44052056,,,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924,12.69016924
Rsqrt,,,99.84992646,100,100,100,100,100,100,100,100,100,100,100,,,25.422457,26.31989675,27.12128943,27.45445268,28.47195126,28.49896449,28.82012186,29.22832188,29.24032776,29.2463307,29.56748807,29.88864544,,,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392,8.878350392
SegmentMax,,,81.13536357,83.1024267,84.93878796,87.00605585,90.34984534,91.99451052,94.87213,96.86533351,97.1419858,98.70387313,99.74295299,100,,,43.89622272,46.5777894,49.6993857,51.35276434,51.93656603,53.19348233,55.02548686,55.66810439,55.67246112,56.66361696,58.48037294,59.16655775,,,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131,9.449745131
SegmentMean,,,85.57856273,87.64477909,88.41988706,90.53703909,92.9664489,94.21326542,95.4755841,96.24404828,97.54622965,98.59594729,99.53714982,100,,,48.27593843,52.18691175,53.81020928,57.08116488,58.08880523,58.86834238,60.21924482,60.83268741,61.07850736,61.08293655,61.78496291,63.20451777,,,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778,11.71741778
SelectV2,,,80.73180021,85.76325501,90.58720006,92.74503881,93.70115969,95.30213683,96.16960639,96.77768876,97.6930957,98.67154358,99.3676206,100,,,12.87545475,14.68459831,15.82787197,16.49768193,19.39822172,20.65969714,20.68399417,20.87771372,20.89347395,21.17387478,21.20276855,21.58429755,,,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599,6.363194599
Sigmoid,,,99.99112531,100,100,100,100,100,100,100,100,100,100,100,,,19.60123062,20.75494024,21.88794226,22.26659567,22.64820731,23.01502781,23.01502781,23.01502781,23.02094427,23.02094427,23.0239025,23.0239025,,,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876,9.022600876
Sign,,,99.84015172,100,100,100,100,100,100,100,100,100,100,100,,,22.94229206,23.09401246,23.53020862,23.53833649,23.54646437,23.54646437,23.60065023,23.60065023,23.60065023,23.60065023,23.60065023,23.60065023,,,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844,12.38146844
Sin,,,99.96348033,99.96348033,99.96956694,99.96956694,99.96956694,99.96956694,100,100,100,100,100,100,,,17.95246356,18.83502237,18.88675857,18.89284519,18.9476247,18.9476247,18.9476247,18.9476247,19.34021121,19.34021121,19.39499072,19.39499072,,,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239,12.46538239
Sinh,,,99.96320711,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,100,100,100,100,,,18.17875211,18.24620573,18.25233788,18.31979151,18.33512188,18.33818795,18.33818795,18.33818795,18.33818795,18.39337728,18.39337728,18.39337728,,,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327,9.474168327
SparseMatMul,,,92.73287174,95.32393151,96.75578134,97.860071,98.57795736,98.77606261,98.81921425,98.96043779,99.19188749,99.38214699,99.79012612,100,,,18.4022125,19.12598317,33.254222,36.2022635,37.08883353,38.30296373,38.59717945,38.75605594,38.76586313,39.05027166,39.33468019,39.34644882,,,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106,19.57319106
Sum,,,79.18349306,80.38293854,81.23078778,82.17909308,83.44082133,84.58602053,86.16719908,86.9286561,88.37321439,90.73393205,95.31472887,96.18266932,,,77.97601109,82.21525727,85.38765998,87.07733108,89.79366323,91.92935929,93.71144998,95.2142728,97.37407832,98.47909509,99.56000241,100,,,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587,18.82948587
Tanh,,,99.99392467,99.99392467,100,100,100,100,100,100,100,100,100,100,,,19.76306197,19.77217497,19.79040097,19.79647631,19.79647631,19.79647631,19.79647631,20.18226002,20.55893074,20.55893074,20.55893074,20.55893074,,,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309,9.814702309
TruncateDiv,,,59.65014997,72.44648507,78.00854596,84.20230905,89.47265705,91.46842516,93.98907104,96.42138132,98.00012326,98.42331238,98.86088171,100,,,4.253461523,6.087965816,7.401700974,8.438103455,9.050289659,9.696372078,9.817576729,10.28801512,10.5971897,11.52882206,12.49537779,12.8723448,,,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885,5.204609885
TruncateMod,,,76.35640121,84.0124396,86.62743065,89.68884282,91.94101222,94.54764333,95.1846712,95.81668311,97.05897106,98.0554766,99.91138457,100,,,11.27923891,12.499791,14.42257854,17.17801669,17.49235065,18.1945861,19.5840091,19.98194252,20.28290057,21.72582722,22.38459095,22.50999014,,,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565,12.2690565
Xdivy,,,69.04522613,78.49389806,84.29145729,87.79468772,89.83919598,91.41995693,92.87293611,95.10552764,97.1816224,98.87293611,99.1730079,100,,,12.88729361,13.91241924,17.90380474,20.4379038,21.81335248,22.4292893,22.90165111,24.23977028,25.13137114,25.60660445,26.20531228,26.33309404,,,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889,7.109834889
Xlog1py,,,67.17028555,75.24401313,81.27207987,85.06318509,86.93849054,89.01207848,91.983523,95.38225232,96.51469664,97.8216854,98.82566501,100,,,11.13174614,16.31641416,18.67346226,20.90902744,22.33749913,22.82203449,23.0133352,23.60259722,23.87767926,23.88605739,24.52558821,24.62891852,,,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979,8.519164979
