Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
RegexReplace,5779.6,,5778,5778,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,,5775.4,5777,5777.2,5777.2,5778.4,5779,5779,5779.6,5779.6,5779.6,5779.6,5779.6
StringLength,5343.2,,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,,5339,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2,5339.2
StringLower,5530.8,,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8,5530.8
StringUpper,5534,,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,,5532.2,5532.4,5532.4,5532.4,5532.4,5532.4,5532.4,5532.4,5533.2,5533.2,5533.2,5533.2
UnicodeScript,5459.6,,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5459.6,5459.6,5459.6,5459.6,,5454,5454.6,5454.6,5454.6,5454.6,5454.6,5454.6,5454.6,5454.6,5454.6,5454.6,5454.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
BroadcastTo,,,81.52884861,84.61650893,87.85033069,90.65114919,92.46172397,93.85756568,94.70347499,95.71016187,95.88372858,97.50246647,98.49088318,100,,78.3808967,80.87294917,83.56231958,84.87411846,85.68531443,86.74681185,87.576278,88.89903899,89.33569628,90.42825301,91.22483283,91.60485256
DepthToSpace,,,13.67740731,25.45323036,58.48246576,78.92158006,84.24834924,97.64343545,99.96500152,99.96733475,100,100,100,100,,48.35857113,50.76880002,60.92769313,68.91901351,69.81730792,70.87892858,71.35257472,72.10854196,72.76884668,72.84584335,72.84584335,72.84584335
Diag,,,99.92933903,99.92933903,99.92933903,99.95289268,99.95289268,99.95289268,99.95289268,99.95289268,99.95289268,99.95289268,99.95289268,99.95289268,,100,100,100,100,100,100,100,100,100,100,100,100
DiagPart,,,99.90918723,99.90918723,99.90918723,99.93945815,99.96972908,99.96972908,99.96972908,99.96972908,99.96972908,100,100,100,,99.78507643,99.81534736,99.82140154,99.85167247,99.85167247,99.88194339,99.88194339,99.91221432,99.91221432,99.91221432,99.91221432,99.91221432
EnsureShape,,,99.45422741,99.81107872,99.9696793,99.97667638,99.99533528,99.99766764,99.99766764,100,100,100,100,100,,99.39125364,99.39125364,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781,99.40524781
ExpandDims,,,99.62815346,99.75729777,99.82186992,99.82409655,99.84636281,99.87530894,99.8886687,99.8886687,99.94433435,99.94433435,99.94656098,99.94656098,,99.54131505,99.67936586,99.73057825,99.73948476,99.82632317,99.84190955,99.87753557,99.91984146,99.94210772,99.99554675,99.99554675,100
Gather,,,97.36934804,97.90195996,98.29085119,98.71778614,98.8445985,98.98831917,99.05172535,99.48006932,99.52234011,99.63083513,99.7421482,100,,97.17631145,97.66383452,98.16826591,98.29226022,98.51065928,98.60365501,98.69242367,98.84178045,98.87277902,98.95168449,99.03481704,99.04045314
GatherNd,,,87.56600296,89.88274934,90.87095644,92.19836505,93.00340332,93.69650509,93.88984996,95.36085388,95.8640028,96.35132232,96.79341497,97.34857479,,87.63610461,89.63287089,91.23729408,92.36570447,93.5201203,94.64740002,95.60734032,96.65434234,97.70247504,98.1920559,98.9281232,100
Identity,,,99.49242157,99.9107038,99.9154036,99.9741511,99.9741511,99.9741511,99.9741511,99.9741511,99.9741511,99.9741511,99.9741511,99.9741511,,99.9342028,99.9859006,99.9859006,99.9859006,99.9859006,99.9859006,100,100,100,100,100,100
MatrixBandPart,,,95.21590937,96.64549668,97.39829823,97.80780265,98.04565852,98.22466345,98.8131728,99.02405532,99.37961306,99.41639489,99.75969201,100,,96.00549275,96.77791128,97.24871877,97.31983031,97.78082931,98.11186582,98.38159927,98.83033766,99.09271474,99.16382629,99.52919252,99.5929477
MatrixDiag,,,99.69655556,99.92819254,100,100,100,100,100,100,100,100,100,100,,99.88418151,99.88418151,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254,99.92819254
MatrixDiagPart,,,99.7116212,99.87674132,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,99.96976674,,99.93488221,99.97209237,100,100,100,100,100,100,100,100,100,100
MatrixDiagPartV2,,,80.25235122,82.95463378,85.88491334,87.73479804,87.76329767,87.76329767,93.62644765,95.87791797,95.91159935,95.99450735,98.67606291,100,,84.73456486,88.34365365,90.5199886,90.5407156,91.6055652,92.41391818,92.41650906,92.4424178,93.52540353,94.49957251,96.49195533,96.51527321
MatrixDiagPartV3,,,69.94275537,72.96018318,74.74367129,84.2462791,84.95611245,85.49293983,86.35542552,87.94809821,89.78247042,90.82559471,91.3700547,92.45134207,,84.9764661,87.82852054,88.33736166,89.92494594,91.15634143,93.04668617,93.82775728,94.71059662,94.84798372,96.37196285,97.81961582,100
MatrixDiagV2,,,54.56881048,63.20116468,71.91059347,72.54431789,81.45927892,81.46784277,81.46784277,81.46784277,81.74188576,81.74188576,81.7504496,99.17787103,,98.90382804,99.4090948,99.41765865,99.72595701,99.72595701,99.98287231,100,100,100,100,100,100
MatrixDiagV3,,,81.11947239,89.92982159,90.54705335,90.54705335,99.57723852,99.57723852,99.94081339,99.94081339,99.94926862,99.94926862,99.94926862,100,,64.05681914,72.85871311,81.28857698,90.19193371,90.20038894,90.61469519,90.63160565,91.00363575,91.00363575,91.00363575,91.00363575,91.00363575
MatrixSetDiagV2,,,79.27432786,80.87318582,87.39709731,89.2219843,92.85748275,94.62526767,95.40328337,95.95051154,97.28289317,98.15369974,98.58910302,100,,78.91268142,81.08018082,82.32215084,82.83606947,84.87270997,85.23673567,86.26695218,86.80942184,87.63264335,88.18938853,88.18938853,89.62645729
MatrixSetDiagV3,,,86.57116147,89.46663635,93.17062078,95.42686778,95.82354279,97.22832815,97.97114631,98.86808661,98.8706132,99.44414968,99.46688901,100,,81.63672655,82.19257687,82.19257687,82.97329392,83.91065969,83.91065969,83.91065969,83.93339902,83.93339902,84.6383183,85.4013492,87.0284747
OnesLike,,,99.71084337,99.90040161,99.92610442,99.95502008,99.95502008,99.95502008,99.95502008,99.95502008,99.95502008,99.95502008,99.95502008,99.95502008,,99.98072289,100,100,100,100,100,100,100,100,100,100,100
Pad,,,37.10809842,37.10809842,61.32745788,63.99881929,68.69004196,72.72554766,74.6273377,76.44689958,79.27639208,92.16091421,93.79071876,100,,12.98361762,12.98361762,42.75021611,42.75021611,44.40110481,44.40110481,44.40743005,45.28453056,45.28453056,46.13843851,55.92359105,57.21394084
PadV2,,,69.77800674,69.77800674,70.54608468,70.54608468,70.54608468,70.54608468,90.82989884,90.82989884,90.82989884,97.40539528,100,100,,28.64368677,49.50824279,49.50824279,49.50824279,49.50824279,49.50824279,49.50824279,49.50824279,49.50824279,71.39846384,71.39846384,71.39846384
Where,,,98.79546177,99.5461775,99.78157141,99.90244937,99.94910402,99.94910402,99.95122468,99.95122468,99.96394868,99.96394868,99.96394868,99.96394868,,99.86427738,99.97031068,99.99151734,99.993638,100,100,100,100,100,100,100,100
ZerosLike,,,99.91396528,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,99.98770933,,100,100,100,100,100,100,100,100,100,100,100,100
AdjustHue,,,99.25480503,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,99.95204191,,97.86770945,97.92304571,97.99682739,98.63134984,99.25849412,99.25849412,99.31014129,99.93359649,99.97048733,100,100,100
AdjustSaturation,,,99.962781,99.962781,99.962781,99.962781,99.962781,99.962781,100,100,100,100,100,100,,98.41447075,98.9057615,98.9094834,98.9094834,99.37844276,99.37844276,99.84740211,99.84740211,99.88462111,99.88462111,99.88462111,99.88462111
EncodePng,,,99.76263707,99.83952929,99.92645092,99.92645092,99.92645092,99.92645092,99.92645092,99.92645092,99.92645092,99.92645092,99.92645092,99.97325488,,98.398636,99.10738165,99.88967638,99.91976464,99.91976464,99.91976464,99.91976464,99.98997058,99.99665686,99.99665686,100,100
ExtractGlimpse,,,59.50832217,59.50832217,59.50832217,59.50832217,59.50832217,59.50832217,99.93303998,99.9426057,99.9426057,99.98086857,100,100,,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509,59.74746509
HSVToRGB,,,99.63947388,99.84335762,99.95524503,99.98508168,99.98508168,99.98508168,99.98508168,99.98508168,99.98508168,99.99005445,99.99005445,99.99005445,,99.76130685,99.91049007,99.94032671,99.94032671,99.97016336,99.97016336,99.97016336,99.97016336,99.97016336,99.97016336,99.97016336,100
RGBToHSV,,,99.50526255,99.62369391,99.84718535,99.90640102,99.99235927,99.99235927,99.99808982,99.99808982,100,100,100,100,,99.31997479,99.49762182,99.614143,99.67144849,99.67144849,99.67144849,99.67144849,99.67144849,99.67144849,99.67144849,99.67144849,99.67144849
ResizeBicubic,,,62.59610858,62.59610858,62.59610858,62.60787698,62.60787698,62.60787698,62.60787698,62.60787698,63.623882,67.18578378,70.08080967,70.4495528,,62.56080339,62.56080339,62.56080339,98.78785501,98.78785501,98.78785501,99.39196611,99.39196611,99.39196611,99.39196611,100,100
ResizeBilinear,,,75.8226691,76.62096283,90.92321755,91.27666057,91.63619744,93.02559415,95.59719683,96.30408288,96.39853748,97.15417428,99.63436929,100,,75.18281536,75.71602681,75.71602681,75.71602681,77.2912858,77.68738574,77.68738574,77.68738574,77.68738574,77.68738574,78.57708714,78.57708714
ResizeNearestNeighbor,,,64.76547231,79.41042345,80.01954397,80.01954397,80.01954397,80.01954397,80.01954397,80.01954397,80.01954397,81.03908795,82.2019544,83.35179153,,51.36482085,81.03583062,81.03583062,81.77850163,82.74918567,82.74918567,83.32247557,83.32247557,83.32247557,83.32247557,99.02605863,100
MatchingFiles,,,99.97780408,99.99260136,99.99260136,100,100,100,100,100,100,100,100,100,,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681,99.96300681
Abs,,,99.9064683,99.99707713,100,100,100,100,100,100,100,100,100,100,,99.73109637,99.95031129,99.96784848,99.98538567,99.98538567,99.98538567,99.98538567,99.98538567,99.98538567,99.98538567,99.98538567,99.98538567
Add,,,59.28279064,69.93809437,74.06377909,80.39077932,86.13130511,89.21844136,90.8485552,93.56609037,94.76245749,96.1797707,97.87301199,100,,66.61881198,74.38959822,79.1944122,80.0843057,83.72838903,84.85857413,85.77697681,86.43370599,87.45698169,88.22265665,88.38760258,88.67065795
AddN,,,90.43622054,93.9820823,95.39079834,96.50646795,97.3353707,97.51747813,98.12868925,98.85293256,99.46623687,99.46833005,99.73207184,100,,90.01130322,92.93548792,95.04332901,97.09884037,97.9884456,98.30242391,98.71059572,98.85083937,98.85083937,98.85083937,98.85083937,98.85083937
AddV2,,,55.43618353,64.43695684,70.99259832,76.49414494,81.76646045,84.80170128,87.95477979,90.01509795,92.04043305,93.70028723,97.20687877,100,,66.6850788,73.25084696,75.0533952,77.43960819,78.60601709,80.34136103,83.42079099,85.10181912,85.95338047,86.57847253,87.67215348,88.09379143
All,,,89.18581028,89.98541439,91.21477314,92.80356306,94.76741157,96.48903475,97.08287753,97.72360265,98.61176225,98.66906287,98.99203,100,,87.12559254,87.59181122,88.05021618,88.79251966,88.79251966,89.02432672,89.21966974,89.68588842,89.71193416,89.83695369,89.83695369,89.83695369
Any,,,90.59698287,92.30686638,93.30273259,93.32957535,93.89864176,94.13217373,94.82740108,96.34401675,98.53975412,98.66859935,99.71278252,100,,90.9674129,91.50963655,93.19536157,93.26515274,93.26515274,93.66779406,93.66779406,94.1455951,94.26370323,94.41133838,94.41133838,94.41133838
Asin,,,99.97559562,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,99.98169671,,99.98169671,99.98169671,100,100,100,100,100,100,100,100,100,100
Asinh,,,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,99.97544883,,99.96931103,100,100,100,100,100,100,100,100,100,100,100
Atan,,,99.91512837,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,99.94543967,,99.95756418,99.97575096,99.97575096,100,100,100,100,100,100,100,100,100
Atanh,,,99.84495653,99.98175959,100,100,100,100,100,100,100,100,100,100,,99.89967775,99.89967775,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816,99.91791816
Ceil,,,99.90204721,99.90204721,99.90204721,99.93469814,99.96734907,99.96734907,99.96734907,99.96734907,100,100,100,100,,99.90531231,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435,99.97714435
ClipByValue,,,85.24464832,88.24753653,91.50526673,93.6990316,96.23046211,96.95888549,97.49405369,98.60686374,99.03584777,99.18025824,99.67082909,100,,87.96296296,89.625807,91.50739042,92.18059803,93.28278967,93.59284743,94.24481821,94.89891267,95.20047571,95.42346245,96.17737003,97.08205912
ComplexAbs,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533,99.946533
Conj,,,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,99.98618451,,99.96546126,100,100,100,100,100,100,100,100,100,100,100
Cumsum,,,92.81892327,95.44580859,96.15750922,98.04152453,98.26663665,98.44672635,98.69608132,98.81556391,99.35756463,99.77142461,99.79047256,100,,90.5002684,92.65788152,94.27176228,95.22935462,96.27526018,96.57310083,97.34540858,97.89087257,98.30646418,98.97314239,99.27098305,99.42163501
Div,,,59.37992067,72.84586713,79.05762293,83.36788184,85.451755,87.52366905,89.84772079,93.4783042,95.58908533,96.37639274,98.79910705,100,,68.50770365,75.20579618,79.10246955,81.98461262,86.04572363,88.1385661,88.60297782,89.36038747,89.73211616,90.40979849,91.38645831,91.62065735
DivNoNan,,,67.38588733,72.79444596,78.13530759,84.9856684,88.52463739,91.36215017,92.87308972,95.59105247,96.73469976,97.67381566,99.27693837,100,,73.93377216,77.00462356,79.63472424,80.61561064,85.01447564,85.32271307,85.9550319,86.67089173,86.71410258,86.82357008,86.95320264,87.50630158
Equal,,,58.61201007,65.40896281,67.88757599,71.71671559,75.26069759,78.3681627,80.58586923,82.42225065,84.76539307,86.4378716,88.3503508,90.33976401,,69.68465417,78.75952267,82.3913098,85.45278175,88.58784275,90.5588587,93.14116555,94.00918191,94.9098116,96.61406722,98.00891431,100
Exp,,,99.94560619,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,99.95164995,,99.95164995,99.98186873,100,100,100,100,100,100,100,100,100,100
Expm1,,,99.98786592,99.99393296,99.99393296,99.99393296,99.99393296,99.99393296,99.99393296,100,100,100,100,100,,99.93326255,99.95146367,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888,99.98179888
Floor,,,99.93469814,99.93469814,99.93469814,99.96734907,99.96734907,100,100,100,100,100,100,100,,99.84980573,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082,99.85307082
FloorMod,,,55.10796679,66.598148,73.99417259,78.91554243,84.61922248,87.66564221,92.13698411,93.28550331,94.8181927,97.09826774,98.5251856,100,,70.01377026,76.15849765,78.16915463,79.56414145,81.58976611,84.53939491,85.21294005,87.85623054,87.86920252,88.85507304,88.90795881,89.59447593
GreaterEqual,,,58.70169388,70.77188356,75.90019272,81.96673091,84.34729689,87.07779694,90.50816513,92.42012374,94.68810224,96.17608277,97.42671671,100,,73.44051121,78.32437367,79.42184806,82.11684755,83.8046455,84.75606045,85.72167563,86.19129729,87.27558576,88.64489299,89.22203063,90.19373162
Inv,,,99.97286787,99.99698532,99.99698532,99.99698532,100,100,100,100,100,100,100,100,,99.68044376,99.75882548,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784,99.83117784
Less,,,58.60753365,67.35063426,74.19192408,78.03331074,82.20296311,84.57054324,88.67144379,91.28207611,93.14224847,94.37978116,97.40389271,100,,69.36670863,72.51186211,74.10574223,77.83480198,80.02227171,81.07485233,82.63677738,83.97308028,84.95690907,85.3674833,86.22446015,87.22668732
LessEqual,,,58.15962659,66.84931242,72.0745272,76.93541685,82.97045777,86.07736835,89.87717315,91.37699437,94.80570937,96.59061259,98.63257279,100,,64.60054697,68.70089583,73.40619836,76.17874158,78.92615893,79.99014293,81.2831589,82.60516627,84.4084307,85.71304323,86.69778409,87.87773365
Lgamma,,,99.85723027,99.86062955,99.86062955,99.86062955,99.86062955,99.86062955,99.89462234,99.89462234,99.89462234,99.89462234,99.89462234,99.89462234,,99.95920865,99.95920865,99.95920865,99.99320144,100,100,100,100,100,100,100,100
Log1p,,,99.74675148,99.97588109,99.97588109,99.97588109,99.97588109,99.97588109,100,100,100,100,100,100,,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115,99.86433115
LogicalAnd,,,93.14802687,95.95430401,96.36420966,98.92066264,99.28448422,99.5100536,99.57796697,99.7768561,99.9151083,99.97574523,99.98544714,100,,81.13706372,83.51888234,83.54313711,83.57709379,83.57709379,83.57709379,83.57709379,83.57709379,83.57709379,83.57709379,83.57709379,83.57709379
LogicalNot,,,99.92780826,99.92780826,99.92780826,99.96390413,99.96390413,99.96390413,99.96390413,100,100,100,100,100,,99.62099336,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303,99.71123303
LogicalOr,,,90.78166066,93.47561569,95.05013141,96.59301081,96.75119245,97.85116324,98.25270126,99.33320354,99.56195853,99.67633603,99.70553879,100,,81.56332133,82.76793536,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387,82.78740387
MatMul,,,60.91979531,64.30865229,68.80972273,74.279411,80.04281761,83.15101039,87.30092423,94.96501488,97.81865177,98.93086523,99.59532139,100,,60.04777818,61.38060676,62.05028458,63.28129079,65.46786069,65.51616104,66.26155292,66.48086262,67.17795415,67.17925957,67.37768263,68.06694167
Max,,,85.19112927,87.31918796,88.95535454,92.06719747,93.58872817,94.95602151,96.18783609,97.28417191,97.68018675,98.24711326,98.30547334,100,,77.960732,79.7761474,81.11634499,84.23027221,85.72679145,86.30205511,86.60844554,87.36504231,87.55679687,89.59731544,90.04960607,90.9791988
Mean,,,80.71308309,83.69416658,85.58581757,87.01792612,88.64415173,89.74348816,91.75398633,92.47697336,94.66376151,96.05229276,98.36783203,100,,80.36842627,84.52213529,86.87927107,88.72536397,89.36317718,90.16935723,90.99336437,93.28909577,93.97444786,94.79053184,95.44419134,96.56333564
Min,,,89.39686966,91.05424125,93.28955654,94.77601871,95.077359,96.00161914,96.14329405,96.14329405,97.35540164,98.27516416,99.05325178,100,,82.68642619,84.40001799,86.82873077,88.65251417,89.71844922,90.68543672,90.82711163,92.49572726,92.86228299,94.50166412,95.27750292,95.9903751
Minimum,,,57.97260602,67.59843463,72.98139126,77.92308921,83.12734606,85.7499401,89.39381839,92.1991055,95.43367143,96.54280808,98.57439502,100,,68.95415702,75.06089769,78.94936507,81.99325134,84.08573596,85.56325373,85.96258286,87.02479834,87.38718952,87.77953039,88.52028592,88.90563853
Mod,,,71.12610081,79.45049142,83.75151174,88.59250175,90.92101453,93.22738345,93.93428382,95.25950909,97.1672884,98.77868057,99.05122047,100,,76.45766263,77.29401945,80.81148756,81.50135418,82.64091165,84.40560751,86.23162485,86.93682184,88.03379495,88.1036333,88.12577716,88.89229564
MulNoNan,,,69.24326734,75.94789285,81.60577435,84.60797423,86.18096594,88.17668119,91.50958317,92.25150613,95.5959108,97.69371235,99.55714676,100,,72.03122978,73.45324879,76.31310299,79.11113028,79.24916246,79.78403715,80.79771097,82.57918877,82.63957785,82.74741549,82.74885333,82.74885333
NotEqual,,,62.76921764,66.73780358,71.10247983,72.75769346,75.8751974,78.84160656,81.44521747,83.96004951,85.54355713,85.95928123,87.42925434,87.82790559,,75.53800845,80.80925349,85.06893167,87.74510222,89.47116821,91.6010073,93.43292501,95.41849844,96.72115754,97.80186948,99.23342866,100
Pow,,,58.89991673,71.7079648,77.95782414,81.26617604,83.3704679,85.28120991,89.6900952,93.35966511,94.37130061,96.43958319,98.97598632,100,,71.78110864,75.10859046,77.51783584,78.98521369,79.19676817,80.77217383,81.97623388,82.74143092,84.14241667,84.92449306,85.30596629,86.03740463
Prod,,,84.02421399,86.11675499,86.98183951,89.23357282,90.60136989,92.18700907,93.73285017,96.08303136,97.29373076,97.79853794,99.40512348,100,,86.28013657,88.33497413,90.93441696,91.8246371,92.50539369,93.96326009,94.75084309,95.46511384,96.91879098,98.22165434,98.82700404,99.81986134
RealDiv,,,69.15965076,75.19488619,79.28437792,82.8780792,84.0349236,87.29342064,90.90894917,93.30215154,94.28125974,95.53164952,98.78702838,100,,79.37948238,84.45587777,87.45244777,88.13532897,88.22887434,89.6741503,89.85032741,90.9198628,92.33083879,93.59681946,94.09416901,94.45431868
Reciprocal,,,99.92761273,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,99.99095159,,100,100,100,100,100,100,100,100,100,100,100,100
Rint,,,99.86110629,99.86110629,99.86110629,99.89582972,99.89582972,99.89582972,99.93055314,99.96527657,99.96527657,100,100,100,,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097,99.86805097
Round,,,99.97556431,99.97556431,99.97556431,99.97556431,99.97556431,99.97556431,99.97556431,99.97556431,99.97556431,99.98472769,99.98472769,99.98472769,,99.85338587,99.93891078,99.96945539,99.96945539,99.96945539,100,100,100,100,100,100,100
Rsqrt,,,99.72720187,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,99.87709095,,99.96402662,99.98201331,100,100,100,100,100,100,100,100,100,100
SegmentMax,,,81.13536357,83.1024267,84.93878796,87.00605585,90.34984534,91.99451052,94.87213,96.86533351,97.1419858,98.70387313,99.74295299,100,,79.97211693,81.93264497,82.48159282,83.33333333,84.1632902,85.19583497,85.66200497,86.20223936,86.67712282,87.31756197,87.80987235,88.43941968
SegmentMean,,,85.57856273,87.64477909,88.41988706,90.53703909,92.9664489,94.21326542,95.4755841,96.24404828,97.54622965,98.59594729,99.53714982,100,,81.47270513,83.01849186,84.67057912,85.99269184,87.80201528,88.19178386,88.75207618,89.17063448,90.21592293,90.74742553,91.33872218,92.29321227
SelectV2,,,78.03435187,82.89769337,87.56045853,89.64619857,90.5703731,92.11785764,92.95634291,93.54410775,94.42892869,95.37468422,96.04750359,96.65875363,,87.48492504,90.80459041,93.45016694,94.98813045,95.74981275,96.91709088,97.41535805,98.08754269,98.78702093,99.07963388,99.52839171,100
Sigmoid,,,99.99112531,100,100,100,100,100,100,100,100,100,100,100,,99.90829488,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363,99.94379363
Sign,,,99.80770272,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,99.96749905,,99.9349981,100,100,100,100,100,100,100,100,100,100,100
Sin,,,99.96348033,99.96348033,99.96956694,99.96956694,99.96956694,99.96956694,100,100,100,100,100,100,,99.96956694,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678
Sinh,,,99.96320711,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,100,100,100,100,,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564,99.90188564
SparseMatMul,,,92.73287174,95.32393151,96.75578134,97.860071,98.57795736,98.77606261,98.81921425,98.96043779,99.19188749,99.38214699,99.79012612,100,,91.34417355,92.16405468,92.80152208,92.96432144,93.57629014,93.75281957,93.93131044,94.43932291,94.6393896,94.66881117,94.69234843,94.82180335
Sqrt,,,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,99.98805328,,99.96415985,99.98207992,100,100,100,100,100,100,100,100,100,100
Square,,,99.63527193,99.8337634,99.98511314,100,100,100,100,100,100,100,100,100,,99.70722509,99.83624454,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684,99.92804684
Sum,,,82.32615462,83.5732041,84.45470307,85.44064504,86.75244919,87.94309945,89.58703236,90.37871034,91.88060076,94.33501138,99.09761243,100,,82.17993441,83.69853571,84.18315125,85.36753494,88.1916738,89.52854427,90.48315334,91.59651578,92.46965931,93.74177511,94.40185491,94.51674221
Tan,,,99.95707497,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,100,100,100,,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423,99.92641423
Tanh,,,99.94231411,99.94231411,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,99.94838631,,99.9817834,100,100,100,100,100,100,100,100,100,100,100
TruncateDiv,,,59.65014997,72.44648507,78.00854596,84.20230905,89.47265705,91.46842516,93.98907104,96.42138132,98.00012326,98.42331238,98.86088171,100,,66.01852993,72.52660339,75.29787584,78.34134517,81.17321994,83.62915485,85.66498213,86.99617897,88.02539135,88.0633962,88.40954846,89.81367353
TruncateMod,,,76.35640121,84.0124396,86.62743065,89.68884282,91.94101222,94.54764333,95.1846712,95.81668311,97.05897106,98.0554766,99.91138457,100,,75.12247321,76.93825344,78.10864586,81.80374191,82.9473825,84.03083148,85.91516327,85.96365096,86.04390644,86.72775,86.77289371,87.500209
Xdivy,,,69.04522613,78.49389806,84.29145729,87.79468772,89.83919598,91.41995693,92.87293611,95.10552764,97.1816224,98.87293611,99.1730079,100,,71.56066045,74.46805456,77.58363245,78.48959081,81.23474515,82.10337401,82.91313711,83.47164393,83.80617373,83.85929648,84.23977028,84.76525485
