Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
EncodePng,5982.4,,5968.2,5972.8,5978,5978,5978,5978,5978,5978,5978,5978,5978,5980.8,,5886.6,5929,5975.8,5977.6,5977.6,5977.6,5977.6,5981.8,5982.2,5982.2,5982.4,5982.4
ExtractGlimpse,2090.8,,1244.2,1244.2,1244.2,1244.2,1244.2,1244.2,2089.4,2089.6,2089.6,2090.4,2090.8,2090.8,,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2,1249.2
HSVToRGB,8043.8,,8014.8,8031.2,8040.2,8042.6,8042.6,8042.6,8042.6,8042.6,8042.6,8043,8043,8043,,8024.6,8036.6,8039,8039,8041.4,8041.4,8041.4,8041.4,8041.4,8041.4,8041.4,8043.8
RGBToHSV,10470.2,,10418.4,10430.8,10454.2,10460.4,10469.4,10469.4,10470,10470,10470.2,10470.2,10470.2,10470.2,,10399,10417.6,10429.8,10435.8,10435.8,10435.8,10435.8,10435.8,10435.8,10435.8,10435.8,10435.8
ResizeBicubic,5098.4,,3191.4,3191.4,3191.4,3192,3192,3192,3192,3192,3243.8,3425.4,3573,3591.8,,3189.6,3189.6,3189.6,5036.6,5036.6,5036.6,5067.4,5067.4,5067.4,5067.4,5098.4,5098.4
ResizeBilinear,6564,,4977,5029.4,5968.2,5991.4,6015,6106.2,6275,6321.4,6327.6,6377.2,6540,6564,,4935,4970,4970,4970,5073.4,5099.4,5099.4,5099.4,5099.4,5099.4,5157.8,5157.8
ResizeNearestNeighbor,6140,,3976.6,4875.8,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4975.8,5047.2,5117.8,,3153.8,4975.6,4975.6,5021.2,5080.8,5080.8,5116,5116,5116,5116,6080.2,6140
MatchingFiles,5406.4,,5405.2,5406,5406,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4,5404.4
Abs,6842.6,,6836.2,6842.4,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,,6824.2,6839.2,6840.4,6841.6,6841.6,6841.6,6841.6,6841.6,6841.6,6841.6,6841.6,6841.6
Add,19642.8,,11644.8,13737.8,14548.2,15791,16918.6,17525,17845.2,18379,18614,18892.4,19225,19642.8,,13085.8,14612.2,15556,15730.8,16446.6,16668.6,16849,16978,17179,17329.4,17361.8,17417.4
AddN,9554.8,,8641,8979.8,9114.4,9221,9300.2,9317.6,9376,9445.2,9503.8,9504,9529.2,9554.8,,8600.4,8879.8,9081.2,9277.6,9362.6,9392.6,9431.6,9445,9445,9445,9445,9445
AddV2,21724.8,,12043.4,13998.8,15423,16618.2,17763.6,18423,19108,19555.6,19995.6,20356.2,21118,21724.8,,14487.2,15913.6,16305.2,16823.6,17077,17454,18123,18488.2,18673.2,18809,19046.6,19138.2
All,7678.8,,6848.4,6909.8,7004.2,7126.2,7277,7409.2,7454.8,7504,7572.2,7576.6,7601.4,7678.8,,6690.2,6726,6761.2,6818.2,6818.2,6836,6851,6886.8,6888.8,6898.4,6898.4,6898.4
Any,7450.8,,6750.2,6877.6,6951.8,6953.8,6996.2,7013.6,7065.4,7178.4,7342,7351.6,7429.4,7450.8,,6777.8,6818.2,6943.8,6949,6949,6979,6979,7014.6,7023.4,7034.4,7034.4,7034.4
Asin,6556.2,,6554.6,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,,6555,6555,6556.2,6556.2,6556.2,6556.2,6556.2,6556.2,6556.2,6556.2,6556.2,6556.2
Asinh,6517,,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,,6515,6517,6517,6517,6517,6517,6517,6517,6517,6517,6517,6517
Atan,6598.2,,6592.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,,6595.4,6596.6,6596.6,6598.2,6598.2,6598.2,6598.2,6598.2,6598.2,6598.2,6598.2,6598.2
Atanh,6578.8,,6568.6,6577.6,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,,6572.2,6572.2,6573.4,6573.4,6573.4,6573.4,6573.4,6573.4,6573.4,6573.4,6573.4,6573.4
Ceil,6125.4,,6119.4,6119.4,6119.4,6121.4,6123.4,6123.4,6123.4,6123.4,6125.4,6125.4,6125.4,6125.4,,6119.6,6124,6124,6124,6124,6124,6124,6124,6124,6124,6124,6124
ClipByValue,9417.6,,8028,8310.8,8617.6,8824.2,9062.6,9131.2,9181.6,9286.4,9326.8,9340.4,9386.6,9417.6,,8284,8440.6,8617.8,8681.2,8785,8814.2,8875.6,8937.2,8965.6,8986.6,9057.6,9142.8
