Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
Relu6,8595.4,,8575.2,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,8595.4,,7596.8,7868.6,8023.2,8121.8,8238.6,8446.6,8510.8,8513.2,8574.4,8586,8591,8591
Softmax,10053.4,,9941.6,9948.2,9961,9997.4,10010,10028.2,10040.4,10043.8,10053,10053.2,10053.4,10053.4,,9841,9909,9922.6,9933.2,9933.6,9943.8,9952.8,9962,9980.4,9980.4,9980.4,9992.8
Softplus,6564.8,,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,,6563,6563.4,6563.4,6563.4,6563.4,6563.4,6564.6,6564.8,6564.8,6564.8,6564.8,6564.8
Softsign,6328.6,,6326.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,,6263,6313.6,6326.4,6326.4,6326.4,6326.4,6326.4,6326.4,6326.4,6326.4,6326.4,6326.8
SerializeTensor,7400.4,,7392.2,7398,7400,7400.2,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,,6012.8,6249.6,6515,6700.6,6827.4,6908.6,7046.6,7167.2,7191.4,7192.2,7192.2,7243.4
Multinomial,7181.4,,6257.4,6370.8,6489.2,6533.4,6558.6,6654.8,6694.8,6745.4,6768.4,6945,7063,7181.4,,6521.2,6601.4,6602.8,6605.2,6605.2,6668.8,6668.8,6668.8,6668.8,6668.8,6668.8,6668.8
RandomUniformInt,5963.2,,4627.4,4627.4,4682.6,4682.6,4684.6,4684.6,4763.4,4763.4,4766.8,4769,5700,5700,,5752.4,5821.4,5850.2,5881,5902.2,5905.2,5931.8,5937.8,5941.8,5954,5954.8,5963.2
AsString,6925,,6645.6,6695.8,6702.4,6702.4,6742.2,6742.2,6768.8,6771.6,6850.2,6850.2,6850.2,6925,,6008.2,6159.2,6281.8,6328.8,6335.8,6391.6,6462.4,6526.2,6546.4,6587.6,6631.8,6653.4
RegexReplace,5788,,5778,5778,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,,5787.6,5788,5788,5788,5788,5788,5788,5788,5788,5788,5788,5788
StringLength,5350.6,,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,,5348.4,5348.6,5348.6,5350.6,5350.6,5350.6,5350.6,5350.6,5350.6,5350.6,5350.6,5350.6
StringLower,5539.4,,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,5529.6,,5535.4,5535.4,5539.4,5539.4,5539.4,5539.4,5539.4,5539.4,5539.4,5539.4,5539.4,5539.4
StringUpper,5542.6,,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,5534,,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6,5542.6
UnicodeScript,5459.6,,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5457.6,5459.6,5459.6,5459.6,5459.6,,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4,5452.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
BroadcastTo,,,74.07948471,76.88502274,79.82336731,82.36827252,84.01341346,85.28171586,86.05033368,86.96503868,87.12274644,88.5935788,89.49168299,90.86291046,,66.80500681,72.63853382,77.33988512,81.03356685,84.51475813,87.5161858,90.29848269,92.14615359,93.59042465,95.24054583,98.63043262,100
DepthToSpace,,,13.67740731,25.45323036,58.48246576,78.92158006,84.24834924,97.64343545,99.96500152,99.96733475,100,100,100,100,,64.31787956,82.43076133,85.79994867,87.5545393,88.80748501,89.2484659,90.60174059,91.04738795,92.30500012,93.09829907,93.09829907,93.68160713
Diag,,,99.93228124,99.93228124,99.93228124,99.95583559,99.95583559,99.95583559,99.95583559,99.95583559,99.95583559,99.95583559,99.95583559,99.95583559,,98.57496172,98.58085031,100,100,100,100,100,100,100,100,100,100
DiagPart,,,99.90918723,99.90918723,99.90918723,99.93945815,99.96972908,99.96972908,99.96972908,99.96972908,99.96972908,100,100,100,,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687,99.93037687
EnsureShape,,,99.45422741,99.81107872,99.9696793,99.97667638,99.99533528,99.99766764,99.99766764,100,100,100,100,100,,71.85072886,74.65422741,76.17725948,78.43265306,80.06530612,81.05655977,84.29154519,86.05014577,89.98017493,90.94810496,92.90728863,93.33177843
ExpandDims,,,99.68142224,99.8106356,99.87524228,99.87747009,99.89974826,99.92870987,99.94207677,99.94207677,99.99777218,99.99777218,100,100,,72.86296701,73.70730947,74.36228752,74.76552231,75.36703277,75.76803974,76.51213046,76.51435828,76.51435828,76.91536525,76.91759307,76.91759307
Gather,,,97.36934804,97.90195996,98.29085119,98.71778614,98.8445985,98.98831917,99.05172535,99.48006932,99.52234011,99.63083513,99.7421482,100,,49.47795578,50.8813459,52.19314931,52.85820969,53.09351707,54.61808344,54.75616801,54.88157135,55.51704217,55.67485311,55.73685026,56.09192487
GatherNd,,,89.95098609,92.33083231,93.34595461,94.70951706,95.53648168,96.24846106,96.44707194,97.95814072,98.47499361,98.97558596,99.42971962,100,,47.05451927,50.78631327,52.65279101,54.62612372,56.56577389,57.32305048,58.25803155,59.26734651,60.68433645,61.02696927,61.52291575,62.52293898
Identity,,,99.51814592,99.93653629,99.94123731,100,100,100,100,100,100,100,100,100,,69.32352388,70.93127115,72.5319669,75.19744265,75.78977059,77.38576533,80.60596089,83.13510718,84.10821737,84.37382475,85.00846183,85.01551335
MatrixBandPart,,,95.21590937,96.64549668,97.39829823,97.80780265,98.04565852,98.22466345,98.8131728,99.02405532,99.37961306,99.41639489,99.75969201,100,,77.87940462,78.89458326,79.34086952,79.8656237,80.35114392,80.64785071,80.69444104,80.71896226,81.3491577,81.38839165,81.40310439,82.07008166
MatrixDiag,,,99.69655556,99.92819254,100,100,100,100,100,100,100,100,100,100,,75.75687383,78.53651757,83.69970582,89.90526048,93.93342753,95.88149452,96.44668875,96.44668875,96.46058697,96.90069723,97.37555303,98.32526465
MatrixDiagPart,,,99.74177639,99.90694645,100,100,100,100,100,100,100,100,100,100,,79.28860559,83.73423905,86.5304983,87.68203601,89.75247755,91.60656958,92.73251756,93.42809287,95.53342949,95.99869725,96.01730796,96.01730796
MatrixDiagPartV2,,,80.25235122,82.95463378,85.88491334,87.73479804,87.76329767,87.76329767,93.62644765,95.87791797,95.91159935,95.99450735,98.67606291,100,,87.18294168,88.69083089,92.05637744,94.42443713,95.50483198,96.09814234,96.16550509,96.17845947,97.00494857,98.19934192,98.22525067,98.25375029
MatrixDiagPartV3,,,73.75382304,76.93566561,78.8163331,88.83672265,89.58523367,90.15131191,91.06079305,92.74024789,94.67457209,95.77453453,96.34866127,97.48886623,,87.79578258,90.2425283,91.20566615,92.28684874,93.18559854,93.23925524,94.18361324,96.17695981,97.9127542,99.0475935,99.35343671,100
MatrixDiagV2,,,19.58686831,22.68535596,25.81150867,26.03897701,29.23890323,29.24197713,29.24197713,29.24197713,29.34034182,29.34034182,29.34341571,35.59879503,,47.74990778,95.15553916,95.2108693,96.8646256,96.90151236,98.18640108,98.18640108,98.18640108,98.32780032,98.3431698,98.38620435,100
MatrixDiagV3,,,28.01413262,31.0567349,31.26989225,31.26989225,34.38841358,34.38841358,34.51397203,34.51397203,34.51689199,34.51689199,34.51689199,34.53441177,,91.99053932,96.95447776,97.24939411,97.9998248,98.86997401,98.8787339,98.91377347,99.07437148,99.87152159,99.9678804,99.97372033,100
MatrixSetDiagV2,,,79.27432786,80.87318582,87.39709731,89.2219843,92.85748275,94.62526767,95.40328337,95.95051154,97.28289317,98.15369974,98.58910302,100,,78.0394956,79.97382822,80.14751368,80.76136093,81.53937664,84.87746847,86.80228408,87.68736617,87.95622175,88.35593624,88.44396859,89.02212705
MatrixSetDiagV3,,,86.57116147,89.46663635,93.17062078,95.42686778,95.82354279,97.22832815,97.97114631,98.86808661,98.8706132,99.44414968,99.46688901,100,,86.7935016,87.51105384,89.14828571,90.58086359,90.7754112,92.2029359,94.31011395,95.487506,96.88471159,97.33444503,98.06968342,98.09747593
OnesLike,,,99.75571341,99.94535695,99.97107133,100,100,100,100,100,100,100,100,100,,88.83031725,93.77712063,95.89534248,96.81463148,97.67606313,97.76927775,97.83356369,97.83356369,97.85284947,97.86570666,97.95892128,98.94249622
Pad,,,22.23907,22.23907,36.75385393,38.35481425,41.16628759,43.58478645,44.72453879,45.81501137,47.51074046,55.23249937,56.20924943,59.93050291,,59.57543594,72.84938084,80.08086935,84.38210766,87.5461208,91.79555219,93.22213798,94.81172606,96.28253728,98.41799343,98.87161991,100
PadV2,,,21.70853246,21.70853246,21.94748805,21.94748805,21.94748805,21.94748805,28.25795547,28.25795547,28.25795547,30.30364844,31.11085208,31.11085208,,58.77141858,70.35639352,77.47989276,81.0263434,85.92056184,89.11440727,91.98915958,94.06836461,95.67402961,97.38751603,98.71779928,100
Where,,,98.83109169,99.58207815,99.81755696,99.93847851,99.98514999,99.98514999,99.98727142,99.98727142,100,100,100,100,,78.0686495,81.74933175,83.21736179,86.99138699,89.4183037,90.44931902,91.42729857,92.08706352,92.46892104,92.87623573,93.26233612,93.42144342
ZerosLike,,,99.92624689,100,100,100,100,100,100,100,100,100,100,100,,84.69622937,85.335423,88.10731078,90.99597431,91.86564642,92.62161581,92.64005409,92.64005409,92.72609938,94.32408346,94.43471313,94.43471313
AdjustHue,,,99.15238622,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,99.84890363,,99.93366501,99.96314723,99.96314723,99.96314723,100,100,100,100,100,100,100,100
AdjustSaturation,,,99.94790116,99.94790116,99.94790116,99.94790116,99.94790116,99.94790116,99.98511462,99.98511462,99.98511462,99.98511462,99.98511462,99.98511462,,99.96278654,99.96278654,99.96278654,99.96278654,100,100,100,100,100,100,100,100
EncodePng,,,99.72929617,99.80616269,99.89305528,99.89305528,99.89305528,99.89305528,99.89305528,99.89305528,99.89305528,99.89305528,99.89305528,99.93984359,,99.77608449,99.89973932,99.96657977,100,100,100,100,100,100,100,100,100
ExtractGlimpse,,,15.85129695,15.85129695,15.85129695,15.85129695,15.85129695,15.85129695,26.6192733,26.62182133,26.62182133,26.63201345,26.63710951,26.63710951,,43.8923712,78.47678744,95.21479896,96.12699383,98.09662131,98.48901799,99.66620802,99.86495439,100,100,100,100
HSVToRGB,,,99.64938456,99.85328857,99.96518712,99.99502673,99.99502673,99.99502673,99.99502673,99.99502673,99.99502673,100,100,100,,97.25972896,99.03269924,99.45542708,99.65187119,99.65435783,99.65435783,99.65435783,99.68419744,99.68419744,99.75133657,99.75879647,99.75879647
RGBToHSV,,,99.35722596,99.47548113,99.69864007,99.75776765,99.84359801,99.84359801,99.84932003,99.84932003,99.85122737,99.85122737,99.85122737,99.85122737,,98.21854317,98.38066719,98.80600431,98.81554102,98.96049896,99.37820672,99.43542696,99.43542696,99.57275554,99.74441626,99.88174484,100
ResizeBicubic,,,39.46919291,39.46919291,39.46919291,39.47661332,39.47661332,39.47661332,39.47661332,39.47661332,40.11724257,42.36315516,44.18857751,44.42108388,,83.0666106,87.94924435,90.42271637,92.4262287,92.96049865,94.29617354,95.56259121,96.61876376,97.5166341,98.68658636,99.10460313,100
ResizeBilinear,,,61.94921583,62.60144386,74.28678118,74.5755539,74.86930545,76.00448096,78.10555141,78.68309684,78.76026886,79.37764501,81.40403286,81.70276326,,82.98232512,86.08912123,89.08638287,90.2738362,93.26860841,94.79711227,96.07169529,97.07493154,98.35200398,98.98182723,99.72367438,100
ResizeNearestNeighbor,,,49.01274435,60.09564424,60.55661005,60.55661005,60.55661005,60.55661005,60.55661005,60.55661005,60.55661005,61.32817315,62.20819878,63.07836419,,84.70431632,87.42820519,89.48899352,90.72398748,93.07811768,94.06660586,95.40759731,96.59082505,97.19969433,98.34841127,99.68200754,100
MatchingFiles,,,99.93713715,99.95192841,99.95192841,99.95932404,99.95932404,99.95932404,99.95932404,99.95932404,99.95932404,99.95932404,99.95932404,99.95932404,,99.97041748,99.98520874,99.98520874,99.98520874,99.98520874,100,100,100,100,100,100,100
Abs,,,99.9064683,99.99707713,100,100,100,100,100,100,100,100,100,100,,93.6573817,96.94268261,98.05044866,99.09683454,99.13190892,99.13190892,99.3715839,99.3715839,99.3715839,99.3715839,99.3715839,99.89185397
Add,,,59.28279064,69.93809437,74.06377909,80.39077932,86.13130511,89.21844136,90.8485552,93.56609037,94.76245749,96.1797707,97.87301199,100,,55.06241473,61.82010711,64.25560511,68.17459833,70.90333354,73.59032317,76.40967683,77.3545523,78.73622905,79.31659438,79.82670495,80.39790661
AddN,,,90.43622054,93.9820823,95.39079834,96.50646795,97.3353707,97.51747813,98.12868925,98.85293256,99.46623687,99.46833005,99.73207184,100,,68.15213296,70.68489136,72.54782936,72.68179344,73.82467451,74.68916147,75.75040817,76.51442207,76.69652949,77.04818521,77.27843597,78.42968979
AddV2,,,55.43618353,64.43695684,70.99259832,76.49414494,81.76646045,84.80170128,87.95477979,90.01509795,92.04043305,93.70028723,97.20687877,100,,44.63194138,49.34913095,52.35122993,55.12962145,59.99594933,62.0442996,64.33016645,64.83834143,65.56101782,66.29842392,66.5239726,67.83675799
All,,,88.73053303,89.5260553,90.7491384,92.32981783,94.28364126,95.99647586,96.58728719,97.22474152,98.10836724,98.16537535,98.48669379,99.48951828,,91.43064445,93.1719831,93.87681066,94.45207432,95.90318986,95.9109637,95.9809282,96.97857013,98.20683579,99.20706901,99.26407712,100
Any,,,87.83147266,89.48916127,90.45462826,90.48065163,91.03234705,91.25875036,91.93275561,93.40307596,95.53178755,95.65669972,96.66900877,96.94745882,,92.43760897,95.79202124,98.35792542,99.53157936,99.53157936,99.55239805,99.56540974,99.78400604,99.86467848,99.86467848,100,100
Asin,,,99.90245389,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,99.90855053,,98.39353757,99.95732358,99.98171011,100,100,100,100,100,100,100,100,100
Asinh,,,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,99.95704336,,98.41367249,100,100,100,100,100,100,100,100,100,100,100
Atan,,,99.94542312,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,99.97574361,,96.94369485,99.16012249,99.20863527,99.99090385,100,100,100,100,100,100,100,100
Atanh,,,99.82371356,99.96048752,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,99.97872405,,98.39214614,99.96048752,99.96048752,99.96048752,99.96048752,99.96048752,99.96048752,99.96048752,100,100,100,100
Ceil,,,99.90204721,99.90204721,99.90204721,99.93469814,99.96734907,99.96734907,99.96734907,99.96734907,100,100,100,100,,98.88986842,99.93796324,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379,99.95755379
ClipByValue,,,85.24464832,88.24753653,91.50526673,93.6990316,96.23046211,96.95888549,97.49405369,98.60686374,99.03584777,99.18025824,99.67082909,100,,74.81099218,78.15579341,79.29621135,80.07772681,80.91233435,81.19053687,81.8743629,81.95293918,81.95293918,82.30122324,82.71746517,82.76206252
ComplexAbs,,,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,99.95323825,,100,100,100,100,100,100,100,100,100,100,100,100
Conj,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169,99.93782169
Cumsum,,,92.81892327,95.44580859,96.15750922,98.04152453,98.26663665,98.44672635,98.69608132,98.81556391,99.35756463,99.77142461,99.79047256,100,,63.65305027,65.65654817,67.62021853,68.77348526,71.23759719,72.55190566,73.89218861,74.62120556,75.35541741,75.42295105,77.37969489,78.73036763
Div,,,59.37992067,72.84586713,79.05762293,83.36788184,85.451755,87.52366905,89.84772079,93.4783042,95.58908533,96.37639274,98.79910705,100,,50.43949692,56.79575851,57.82922405,59.42177752,61.67806103,65.04753742,66.76067848,67.73933149,68.20473979,69.3378645,69.7205557,70.61948137
DivNoNan,,,64.66522917,69.85542102,74.98064908,81.55443136,84.95051695,87.67346713,89.12340355,91.73163045,92.82910378,93.73030353,95.26870128,95.9625698,,69.77110632,79.75617847,85.31956654,87.29335987,90.6631835,92.4973738,94.54027755,95.78702936,97.37242218,98.30264831,99.17067507,100
Equal,,,64.87952532,72.40329165,75.14694856,79.38554674,83.30849478,86.74824819,89.20309911,91.23584897,93.82954893,95.68086938,97.79785432,100,,43.47640955,48.22319519,50.64472235,51.1973415,52.69505975,53.19769325,53.95858596,55.57016042,56.26162861,56.32827614,56.34771501,56.66706779
Exp,,,99.97581767,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,,98.36164682,99.98186325,99.98186325,99.98186325,99.98186325,99.98186325,100,100,100,100,100,100
Expm1,,,99.94238933,99.94845361,99.94845361,99.94845361,99.94845361,99.94845361,99.94845361,99.95451789,99.95451789,99.95451789,99.95451789,99.95451789,,97.73195876,99.24499697,99.25409339,99.25409339,99.25409339,99.25409339,99.25409339,99.25409339,99.25409339,99.25409339,100,100
Floor,,,99.93469814,99.93469814,99.93469814,99.96734907,99.96734907,100,100,100,100,100,100,100,,99.66043034,99.96408398,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454,99.98367454
FloorMod,,,55.10796679,66.598148,73.99417259,78.91554243,84.61922248,87.66564221,92.13698411,93.28550331,94.8181927,97.09826774,98.5251856,100,,47.63211463,53.82972779,56.61970144,60.70188393,62.70954738,65.422687,66.77776004,67.89434821,68.7634709,69.2035204,70.15646204,71.11139938
GreaterEqual,,,58.70169388,70.77188356,75.90019272,81.96673091,84.34729689,87.07779694,90.50816513,92.42012374,94.68810224,96.17608277,97.42671671,100,,57.95313926,65.96612232,68.53331981,72.80454407,75.84237752,77.9734253,80.52135105,81.49508064,83.24576529,84.60492951,85.63444568,86.20346891
Inv,,,99.97286787,99.99698532,99.99698532,99.99698532,100,100,100,100,100,100,100,100,,92.12866661,94.2479877,96.63561545,99.79198698,99.81308975,99.81308975,99.81308975,99.81308975,99.81308975,99.81308975,99.81308975,99.81308975
Less,,,58.60753365,67.35063426,74.19192408,78.03331074,82.20296311,84.57054324,88.67144379,91.28207611,93.14224847,94.37978116,97.40389271,100,,54.6760918,62.28623995,68.37997482,71.28207611,72.89919628,74.02343372,75.31422485,76.44233563,77.42713276,79.57393241,80.65362642,81.03902392
LessEqual,,,58.15962659,66.84931242,72.0745272,76.93541685,82.97045777,86.07736835,89.87717315,91.37699437,94.80570937,96.59061259,98.63257279,100,,47.18638564,51.11085341,55.0672117,57.54404275,59.44007963,61.1988906,62.3430841,64.72231081,66.64057442,67.99253955,69.49139439,71.58457272
Lgamma,,,99.92516498,99.92856657,99.92856657,99.92856657,99.92856657,99.92856657,99.96258249,99.96258249,99.96258249,99.96258249,99.96258249,99.96258249,,99.9557793,99.96598408,99.96598408,100,100,100,100,100,100,100,100,100
Log1p,,,99.70466805,99.93370099,99.93370099,99.93370099,99.93370099,99.93370099,99.95780972,99.95780972,99.95780972,99.95780972,99.95780972,99.95780972,,97.28475424,99.9668505,99.9668505,99.97589127,99.97589127,99.97589127,99.97589127,99.97589127,100,100,100,100
LogicalAnd,,,93.14802687,95.95430401,96.36420966,98.92066264,99.28448422,99.5100536,99.57796697,99.7768561,99.9151083,99.97574523,99.98544714,100,,95.26061753,98.7969633,99.13167916,99.53430838,99.5634141,99.58039244,99.71621917,99.71621917,99.71621917,99.73319751,99.82779112,99.92238473
LogicalNot,,,99.92780826,99.92780826,99.92780826,99.96390413,99.96390413,99.96390413,99.96390413,100,100,100,100,100,,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867,99.92419867
LogicalOr,,,90.4427096,93.12660622,94.69524318,96.23236193,96.38995297,97.48581681,97.8858556,98.96232362,99.19022451,99.30417495,99.33326868,99.62663046,,93.07084323,96.27600252,97.61188964,99.03263347,99.58783882,99.67269553,99.71148717,99.72603404,99.74542986,99.75997673,99.90059642,100
MatMul,,,60.91979531,64.30865229,68.80972273,74.279411,80.04281761,83.15101039,87.30092423,94.96501488,97.81865177,98.93086523,99.59532139,100,,65.70805702,72.70508067,76.15398674,78.15649313,79.71254765,80.89786434,81.00229753,81.28557255,82.01660488,83.40817712,84.02694376,85.37543731
Max,,,63.96500728,65.56284136,66.79134259,69.12784238,70.27027027,71.29689041,72.22178751,73.04496158,73.34230583,73.76797759,73.81179674,75.08411712,,69.54099438,74.48942863,77.59902346,79.79154603,85.69148187,88.46304324,91.83711795,95.44124321,97.58368676,98.56492277,99.14865647,100
Mean,,,61.53520893,63.80797052,65.25015479,66.34198644,67.58181187,68.4199399,69.9527326,70.50393392,72.17112913,73.22973769,74.99509204,76.23944789,,68.01220194,76.72269288,82.65150486,85.73974237,88.30245096,89.12396744,90.6401486,92.23636721,94.04551564,96.01624911,99.10599677,100
Min,,,61.73401249,62.87852906,64.42215113,65.44864428,65.65673821,66.29499643,66.39283163,66.39283163,67.22986614,67.86501848,68.40233562,69.05612324,,65.44398546,72.88567258,77.7510327,81.19700593,85.3091903,88.16659937,91.29266702,93.88918222,95.60362767,97.9159549,98.93778924,100
Minimum,,,57.97260602,67.59843463,72.98139126,77.92308921,83.12734606,85.7499401,89.39381839,92.1991055,95.43367143,96.54280808,98.57439502,100,,49.95906876,55.39992812,57.67810079,59.71368102,61.6644038,63.48135133,64.61644437,66.68896254,67.247025,68.79542369,69.48127146,70.64431755
Mod,,,71.12610081,79.45049142,83.75151174,88.59250175,90.92101453,93.22738345,93.93428382,95.25950909,97.1672884,98.77868057,99.05122047,100,,75.47992573,77.9225646,81.62399714,84.43626825,85.24877783,86.5671896,87.37458906,88.9280665,90.15790281,90.30098625,91.09816547,92.1934352
MulNoNan,,,69.24326734,75.94789285,81.60577435,84.60797423,86.18096594,88.17668119,91.50958317,92.25150613,95.5959108,97.69371235,99.55714676,100,,70.28138435,76.87961006,81.10253203,84.08604006,86.82224043,88.97467972,91.11417849,92.08615508,93.72816288,94.45714532,95.33278696,97.20053487
NotEqual,,,71.46842136,75.98701475,80.95659273,82.84120288,86.39076259,89.76828723,92.73273332,95.59609665,97.39906304,97.87240246,99.54609957,100,,44.07791147,48.59358902,51.59594114,53.03053865,54.54094823,54.97054993,55.81031433,56.37890481,57.06510118,57.61619657,58.25573936,58.95262718
Pow,,,58.89991673,71.7079648,77.95782414,81.26617604,83.3704679,85.28120991,89.6900952,93.35966511,94.37130061,96.43958319,98.97598632,100,,58.39128576,65.98249049,69.52602795,72.41464677,76.52983143,79.15738303,81.55987667,82.77181374,83.84196431,84.3809781,85.37573425,85.86748588
Prod,,,64.83175486,66.44632641,67.11381194,68.85121376,69.90658435,71.13003847,72.32278501,74.13614765,75.07030417,75.45980541,76.6994214,77.15841872,,69.27142257,77.38468501,81.86960597,84.57348806,87.88182435,92.00956783,94.43223325,95.31467175,96.23913114,96.80964541,99.14018812,100
RealDiv,,,69.15965076,75.19488619,79.28437792,82.8780792,84.0349236,87.29342064,90.90894917,93.30215154,94.28125974,95.53164952,98.78702838,100,,75.65169941,85.30869972,89.19395073,92.50389772,94.55565949,95.71406299,96.36264422,97.10009355,98.01371999,98.48300592,99.16588712,99.9111319
Reciprocal,,,99.90651951,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,99.969845,,95.07568904,98.36861468,99.0923346,99.94873651,100,100,100,100,100,100,100,100
Rint,,,99.86110629,99.86110629,99.86110629,99.89582972,99.89582972,99.89582972,99.93055314,99.96527657,99.96527657,100,100,100,,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616,99.8541616
Round,,,99.9236781,99.9236781,99.9236781,99.9236781,99.9236781,99.9236781,99.9236781,99.9236781,99.9236781,99.93283673,99.93283673,99.93283673,,95.50006106,99.22151667,99.98168275,99.98168275,99.98168275,99.98168275,99.98168275,99.98168275,99.98168275,99.98168275,99.98168275,100
Rsqrt,,,99.80199802,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,99.95199952,,95.63195632,99.92199922,99.95799958,99.95799958,99.95799958,99.99399994,99.99399994,99.99399994,99.99699997,100,100,100
SegmentMax,,,81.13536357,83.1024267,84.93878796,87.00605585,90.34984534,91.99451052,94.87213,96.86533351,97.1419858,98.70387313,99.74295299,100,,79.06809567,83.52067268,86.70979828,88.43288459,90.44787174,91.65686403,92.98784473,93.33856141,93.74591557,93.92236309,94.48655949,95.07253954
SegmentMean,,,85.57856273,87.64477909,88.41988706,90.53703909,92.9664489,94.21326542,95.4755841,96.24404828,97.54622965,98.59594729,99.53714982,100,,80.86590632,84.96954933,87.301517,89.86158786,91.39630163,91.91673126,93.00631159,94.21105082,94.53216698,95.34935223,95.84763592,96.37470933
SelectV2,,,80.73180021,85.76325501,90.58720006,92.74503881,93.70115969,95.30213683,96.16960639,96.77768876,97.6930957,98.67154358,99.3676206,100,,40.44207457,43.88699912,45.17342824,46.04812125,46.59710274,46.68509739,46.92938102,47.19336494,47.48952601,47.50397289,47.67602212,47.72067611
Sigmoid,,,99.9822522,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,99.9911261,,99.05345047,99.94675659,99.96450439,99.9822522,99.9822522,99.9822522,99.9822522,99.9822522,99.9822522,99.9822522,100,100
Sign,,,99.80499959,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,99.96479159,,87.73393278,91.7097744,96.52249276,99.08728977,99.25249844,99.98374997,99.98374997,99.98374997,100,100,100,100
Sin,,,99.96348033,99.96348033,99.96956694,99.96956694,99.96956694,99.96956694,100,100,100,100,100,100,,96.10761131,99.95739371,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678,99.98782678
Sinh,,,99.96320711,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,100,100,100,100,,96.99831366,99.22734938,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393,99.99693393
SparseMatMul,,,92.49339724,95.07776582,96.50591803,97.60735596,98.32338844,98.5209821,98.5640223,98.70488115,98.93573315,99.12550132,99.53242688,99.74175878,,99.23897095,99.70654407,99.80827546,99.83957742,99.91196322,99.91978871,99.95304705,99.97065441,99.98043627,99.99021814,99.99021814,100
