,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
dropout3d,,1027,1027,1028,1028,1029,1029,1029,1029,1029,1029,1029,1029,,1026,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,,1027,1027,1027,1028,1029,1029,1029,1029,1029,1029,1029,1029,,1027,1028,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,,1027,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
embedding,,772,772,772,772,772,773,773,773,800,800,800,800,,766,766,766,766,766,772,772,772,772,802,802,802,,747,774,798,802,802,802,802,802,802,802,802,802,,737,768,768,768,768,768,768,768,768,768,768,768,,782,784,784,808,808,808,808,808,808,808,808,808
gelu,,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,340,340,340,340,340,340,340,340,340
hardshrink,,181,181,181,181,181,181,181,181,181,181,181,181,,181,181,181,181,181,181,181,181,181,181,181,181,,181,181,181,181,181,181,181,181,181,181,181,181,,181,181,181,181,181,181,181,181,181,181,181,181,,181,181,181,181,181,181,181,181,181,181,181,181
hardtanh,,873,873,873,873,873,873,873,873,873,873,873,873,,872,873,873,873,873,873,873,873,873,873,873,873,,874,874,874,874,874,874,874,874,874,874,874,874,,872,872,872,872,872,872,872,872,872,872,872,872,,875,875,875,875,875,875,875,875,875,875,875,875
hinge_embedding_loss,,1546,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,,1547,1547,1548,1548,1548,1548,1549,1549,1549,1549,1549,1549,,1546,1547,1547,1548,1548,1548,1548,1548,1548,1548,1548,1548,,1547,1548,1548,1549,1549,1549,1549,1549,1550,1550,1550,1550,,1546,1546,1547,1547,1548,1548,1548,1548,1548,1549,1549,1549
huber_loss,,1035,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,,1031,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,1039,,1031,1036,1036,1038,1038,1038,1038,1038,1038,1038,1038,1038,,1029,1031,1033,1033,1033,1033,1033,1033,1033,1038,1038,1038,,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038
instance_norm,,1252,1284,1323,1323,1323,1323,1329,1329,1329,1329,1329,1329,,1281,1297,1306,1306,1320,1331,1331,1331,1331,1331,1801,1801,,1233,1280,1302,1302,1302,1302,1302,1310,1310,1315,1315,1315,,1273,1301,1315,1328,1328,1328,1328,1329,1329,1329,1332,1332,,1240,1267,1290,1305,1305,1305,1313,1313,1313,1313,1318,1324
interpolate,,2286,2722,2849,2933,2999,3098,3199,3279,3386,3390,3488,3507,,1565,2082,2788,3025,3167,3240,3258,3270,3290,3398,3406,3448,,2617,2955,3081,3176,3238,3248,3285,3299,3432,3443,3450,3559,,2451,2836,3081,3197,3290,3319,3320,3374,3432,3453,3476,3489,,2085,2540,2804,2994,3265,3472,3512,3521,3542,3589,3638,3642
kl_div,,989,989,989,989,989,989,989,989,989,989,989,989,,990,990,990,990,990,990,990,990,990,990,990,990,,990,990,990,990,990,991,991,991,991,991,991,991,,991,992,992,992,992,992,992,992,992,992,992,992,,991,991,991,991,991,991,991,991,991,991,991,991
