Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
hardshrink,181,181,181,181,181,181,181,181,181,181,181,181,181,,,103,103,103,103,103,103,103,103,103,103,103,103,,,71,71,71,71,71,71,71,71,71,71,71,71
hardtanh,873.4,873.2,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,,,452.2,490.2,495,497.4,500,500.8,501,501.8,501.8,502.8,503,503.4,,,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8
hinge_embedding_loss,1548.6,1546.4,1547,1547.4,1547.8,1548,1548,1548.2,1548.2,1548.4,1548.6,1548.6,1548.6,,,1285.4,1305.4,1308.8,1310.4,1310.4,1317,1317.8,1318.6,1318.6,1321.4,1321.4,1321.4,,,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2,1069.2
huber_loss,1045.4,1032.8,1035,1035.8,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2,1037.2,1037.2,1038.2,,,915.6,958.6,976.4,986.4,1023.2,1023.2,1035.8,1036.2,1043.4,1043.6,1043.8,1045.4,,,619,619,619,619,619,619,619,619,619,619,619,619
instance_norm,1698.4,1255.8,1285.8,1307.2,1312.8,1315.6,1317.8,1320.6,1322.4,1322.4,1323.4,1419,1420.2,,,1352,1396,1495.2,1515.4,1544.6,1585.2,1590.4,1600.8,1617.8,1654,1692.8,1698.4,,,707,707,707,707,707,707,707,707,707,707,707,707
interpolate,3529,2200.8,2627,2920.6,3065,3191.8,3275.4,3314.8,3348.6,3416.4,3454.6,3491.6,3529,,,489.4,501,511.2,513.2,519.4,519.8,522.6,526.6,528.6,528.6,528.6,533.4,,,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6,699.6
kl_div,990.6,990.2,990.4,990.4,990.4,990.4,990.6,990.6,990.6,990.6,990.6,990.6,990.6,,,836.8,857.4,864.8,885,905.8,909.4,912.2,933.4,933.4,934,935,940.8,,,611.2,611.2,611.2,611.2,611.2,611.2,611.2,611.2,611.2,611.2,611.2,611.2
layer_norm,1120.8,301.6,533.4,772.6,923.8,1023.6,1106.2,1118.4,1120.6,1120.8,1120.8,1120.8,1120.8,,,368.8,368.8,368.8,368.8,369,369,369,369,369,369,369,369,,,344.2,344.2,344.2,344.2,344.2,344.2,344.2,344.2,344.2,344.2,344.2,344.2
local_response_norm,1616,1615.4,1615.4,1615.6,1615.6,1615.6,1615.6,1615.6,1615.8,1616,1616,1616,1616,,,1324.2,1385.6,1435.4,1459,1553.2,1563.8,1575,1575.8,1579.6,1581.6,1584.6,1585.8,,,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4,1074.4
log_softmax,747,745.8,746.6,747,747,747,747,747,747,747,747,747,747,,,223,243.4,253.6,253.6,253.6,253.6,263.8,263.8,263.8,263.8,263.8,263.8,,,189.2,189.2,189.2,189.2,189.2,189.2,189.2,189.2,189.2,189.2,189.2,189.2
logsigmoid,162,156,156,156,156,156,156,156,156,156,156,156,156,,,162,162,162,162,162,162,162,162,162,162,162,162,,,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8,154.8
