Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
gelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,8.764705882,8.764705882,10.47058824,10.47058824,10.47058824,10.47058824,11.82352941,13.41176471,13.41176471,13.41176471,13.41176471,13.41176471
gumbel_softmax,,,100,100,100,100,100,100,100,100,100,100,100,100,,,83.12807882,83.58550317,89.23293455,91.94229416,92.57565095,95.7424349,95.77762139,95.77762139,97.92399719,97.92399719,97.99437016,97.99437016
hardshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,,59.1160221,59.1160221,59.1160221,80.33149171,80.33149171,80.33149171,80.33149171,81.87845304,91.71270718,100,100,100
hardtanh,,,99.97710098,100,100,100,100,100,100,100,100,100,100,100,,,54.86604076,55.41561713,55.43851614,59.74353103,64.3233341,64.34623311,65.01030456,65.01030456,65.01030456,65.19349668,65.35378979,65.85756812
hinge_embedding_loss,,,99.8579362,99.89668087,99.92251065,99.94834044,99.96125533,99.96125533,99.97417022,99.97417022,99.98708511,100,100,100,,,74.55766499,80.16272762,81.36381248,83.39145034,84.16634379,85.84527961,86.10357742,87.03344957,87.76959835,88.14413018,88.18287485,88.62198114
huber_loss,,,99.479869,99.69177422,99.76883067,99.80735889,99.80735889,99.80735889,99.80735889,99.80735889,99.80735889,99.90367945,99.90367945,100,,,68.00231169,80.87073782,87.01598921,90.34868041,90.81101907,92.71816606,92.81448661,93.39240994,93.79695627,94.22076671,94.60604893,95.02985937
instance_norm,,,88.42416561,90.53654415,92.04337417,92.43768483,92.63484016,92.78974792,92.98690325,93.11364597,93.11364597,93.18405858,99.91550486,100,,,61.79411351,62.8080552,63.62484157,64.20222504,64.3571328,64.44162794,65.44148711,65.59639487,65.6104774,65.6104774,65.6104774,66.37093367
interpolate,,,62.36327572,74.44035137,82.75998867,86.85179938,90.44488524,92.81382828,93.93029187,94.88807027,96.80929442,97.89175404,98.94020969,100,,,13.98129782,17.11533012,19.28024936,21.07112496,22.13091527,22.47662227,23.2757155,24.85689997,25.03825446,25.04392179,25.07792576,25.07792576
kl_div,,,99.95962043,99.97981022,99.97981022,99.97981022,99.97981022,100,100,100,100,100,100,100,,,68.66545528,68.7664042,68.7664042,68.7664042,68.8875429,68.8875429,68.8875429,68.8875429,68.8875429,68.8875429,68.8875429,68.8875429
l1_loss,,,99.85771201,99.9573136,99.9715424,99.9857712,99.9857712,100,100,100,100,100,100,100,,,80.53500285,85.65737052,88.17586796,90.92202618,92.1457029,92.44450768,94.05236198,94.22310757,94.25156517,94.94877632,95.66021628,95.81673307
layer_norm,,,26.90935046,47.59100642,68.93290507,82.42326909,91.32762313,98.69735903,99.78586724,99.9821556,100,100,100,100,,,19.62883655,22.89436117,22.89436117,22.93004996,23.09064954,25.78515346,28.35474661,31.40613847,34.49321913,34.86795146,38.31192006,39.7751606
leaky_relu,,,99.88130564,100,100,100,100,100,100,100,100,100,100,100,,,37.5074184,40.11869436,43.97626113,56.37982196,64.21364985,64.21364985,64.21364985,64.21364985,73.94658754,75.78635015,76.5578635,76.5578635
linear,,,94.19042878,96.99921781,97.7671905,98.2791723,98.70582379,98.95470383,99.16091872,99.38135533,99.48090735,99.68001138,99.7440091,100,,,66.45808149,70.31927754,75.6097561,76.78304771,78.38299083,79.14385266,79.65583446,79.74116476,80.51624831,80.9784541,81.92419825,81.97397426
local_response_norm,,,99.96287129,99.96287129,99.97524752,99.97524752,99.97524752,99.97524752,99.97524752,99.98762376,100,100,100,100,,,80.37128713,80.43316832,82.12871287,82.14108911,82.32673267,83.21782178,84.07178218,85.08663366,85.71782178,86.60891089,86.60891089,87.75990099
log_softmax,,,99.83935743,99.94645248,100,100,100,100,100,100,100,100,100,100,,,64.06961178,70.2811245,70.65595716,70.73627845,70.89692102,72.69076305,73.38688086,73.46720214,73.84203481,73.89558233,74.19009371,74.19009371
logsigmoid,,,100,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,100,100
lp_pool1d,,,99.41024696,99.90785109,99.90785109,99.90785109,100,100,100,100,100,100,100,100,,,82.52856616,82.54699595,82.8050129,82.82344268,83.17360855,83.68964246,83.89237007,83.89237007,84.0766679,84.3899742,84.62956137,84.62956137
lp_pool2d,,,99.95829858,100,100,100,100,100,100,100,100,100,100,100,,,80.87989992,82.56880734,82.75646372,83.02752294,83.13177648,83.15262719,83.36113428,83.52793995,83.52793995,83.52793995,83.52793995,83.52793995
margin_ranking_loss,,,99.40309644,99.57097556,99.57097556,99.72020145,99.72020145,99.75750793,99.92538705,99.92538705,99.92538705,99.92538705,100,100,,,85.22663682,87.40906547,89.53553442,90.8599142,92.31486663,93.09830256,93.97500466,94.1988435,95.56052975,95.89628801,96.00820742,96.21339302
max_pool1d,,,96.41169263,98.44214948,100,100,100,100,100,100,100,100,100,100,,,19.46437949,24.29546648,26.97356905,27.20112025,27.41116751,30.12427796,30.12427796,30.12427796,30.12427796,30.12427796,30.12427796,30.33432522
max_pool2d,,,96.13075384,97.8207694,98.75472537,98.75472537,99.59973316,99.6219702,99.6219702,100,100,100,100,100,,,25.72826329,26.52879698,26.88458973,26.88458973,26.88458973,26.90682677,26.90682677,26.95130087,26.95130087,26.97353791,28.4856571,28.4856571
max_unpool1d,,,98.41860465,100,100,100,100,100,100,100,100,100,100,100,,,23.39534884,42.93023256,46.37209302,58.8372093,59.39534884,70.3255814,80.74418605,81.30232558,81.30232558,81.30232558,81.30232558,81.30232558
max_unpool2d,,,100,100,100,100,100,100,100,100,100,100,100,100,,,78.2278481,93.75527426,95.18987342,96.62447257,97.97468354,98.05907173,98.05907173,99.4092827,99.4092827,99.4092827,99.4092827,99.4092827
max_unpool3d,,,95.21812081,98.5738255,98.82550336,98.82550336,98.82550336,98.82550336,100,100,100,100,100,100,,,26.09060403,28.94295302,45.46979866,58.13758389,73.65771812,76.51006711,92.03020134,92.28187919,93.20469799,93.20469799,93.20469799,94.2114094
mish,,,100,100,100,100,100,100,100,100,100,100,100,100,,,72.56830601,82.18579235,91.80327869,91.80327869,100,100,100,100,100,100,100,100
mse_loss,,,99.44814462,99.58135109,99.67649857,99.88582303,99.88582303,99.88582303,99.94291151,99.94291151,99.96194101,100,100,100,,,83.67269267,87.97335871,89.97145576,90.50428164,91.28449096,92.08372978,92.15984776,92.54043768,92.54043768,93.35870599,93.66317793,94.13891532
multilabel_margin_loss,,,99.54788327,99.7944924,99.91779696,99.91779696,100,100,100,100,100,100,100,100,,,74.92807234,79.73695027,81.95643239,82.90176737,84.42252363,84.46362515,85.12124949,87.01191944,87.58734073,87.58734073,89.43690917,90.0945335
multilabel_soft_margin_loss,,,99.49600278,99.60027807,99.68717414,99.68717414,99.70455335,99.8783455,99.98262079,99.98262079,100,100,100,100,,,80.22245395,84.2544317,87.20889816,87.99096281,89.72888425,90.30239833,91.5884602,91.7101147,92.38790407,92.38790407,93.93465415,94.12582551
nll_loss,,,57.11125158,65.28128951,73.482933,79.51959545,87.89506953,91.54551201,93.99494311,96.15992415,97.36093552,97.40834387,98.71997472,100,,,27.73388116,27.87610619,28.01833123,28.03413401,28.4608091,28.69785082,28.72945638,29.06131479,29.23514539,29.23514539,30.27812895,30.98925411
normalize,,,99.81837445,99.90918723,99.96972908,99.96972908,100,100,100,100,100,100,100,100,,,75.02648706,77.38761919,78.87089451,79.15846829,79.68820947,80.02118965,80.85364008,80.97472378,81.0049947,81.0049947,81.17148479,81.18662025
pad,,,97.61351637,98.26821542,99.22914467,99.34530095,99.6092925,99.66209081,99.89440338,99.92608237,99.98944034,99.98944034,99.98944034,100,,,50.48574446,51.96409715,52.44984161,52.88278775,55.58606125,57.40232313,57.42344245,58.06758184,59.17634636,59.23970433,59.59873284,60
pairwise_distance,,,99.95810056,99.95810056,99.97206704,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,100,,,56.8575419,58.05865922,59.67877095,60.27932961,60.36312849,60.53072626,61.52234637,61.70391061,61.70391061,62.08100559,62.48603352,62.54189944
pixel_unshuffle,,,100,100,100,100,100,100,100,100,100,100,100,100,,,25.37572254,38.35260116,38.46820809,38.95953757,46.73410405,47.19653179,48.12138728,54.10404624,54.10404624,54.85549133,54.85549133,67.68786127
poisson_nll_loss,,,99.52550415,99.62930012,99.79240807,99.83689205,99.83689205,99.95551601,99.95551601,100,100,100,100,100,,,80.47153025,83.27402135,85.51304864,87.23309609,88.81969158,89.27935943,90.34697509,90.45077106,90.98457888,91.02906287,91.2514828,91.2514828
prelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,54.79041916,60.02994012,65.23952096,70.1497006,70.80838323,72.00598802,76.85628743,76.85628743,76.91616766,79.13173653,80.23952096,81.07784431
relu,,,94.74770642,97.63761468,99.03669725,100,100,100,100,100,100,100,100,100,,,28.60091743,28.64678899,33.41743119,33.41743119,33.41743119,33.41743119,33.41743119,33.48623853,35.73394495,35.73394495,35.73394495,35.73394495
relu6,,,100,100,100,100,100,100,100,100,100,100,100,100,,,57.45175541,57.96326436,66.44966287,67.49593118,71.21599628,71.26249709,72.49476866,72.75052313,76.49383864,79.81864683,85.09648919,85.98000465
rrelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,79.03822441,83.77311961,84.06905055,87.39827374,87.44759556,89.81504316,90.16029593,90.16029593,92.4784217,92.79901356,93.71146732,93.81011097
selu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,59.89949749,67.13567839,75.67839196,90.15075377,90.15075377,90.15075377,90.15075377,91.45728643,91.45728643,92.7638191,92.7638191,92.7638191
silu,,,99.91181658,100,100,100,100,100,100,100,100,100,100,100,,,74.33862434,86.41975309,93.0335097,93.0335097,99.64726631,99.64726631,99.64726631,99.64726631,99.64726631,99.73544974,99.73544974,99.73544974
smooth_l1_loss,,,99.72103403,99.77682723,99.79542496,99.79542496,99.79542496,99.79542496,99.79542496,99.88841361,99.88841361,99.88841361,99.90701134,100,,,79.91445044,85.47517203,87.33494514,89.73405245,91.42644597,91.72400967,92.00297564,92.35633253,92.67249396,92.76548261,92.98865538,93.00725312
soft_margin_loss,,,98.66534849,98.73125721,98.73125721,98.9784149,98.9784149,99.22557258,99.47273027,99.47273027,99.47273027,99.47273027,99.75284231,100,,,65.67803592,68.36381611,70.34107761,72.97742626,74.39446367,74.39446367,75.66320646,75.95979568,77.80523974,78.13478333,78.39841819,78.72796177
softmax,,,99.93894994,100,100,100,100,100,100,100,100,100,100,100,,,71.30647131,71.94749695,72.37484737,74.87789988,77.62515263,77.83882784,78.17460317,78.26617827,78.2967033,78.35775336,78.47985348,78.63247863
softmin,,,100,100,100,100,100,100,100,100,100,100,100,100,,,74.6110948,74.87525682,76.16671559,77.07660699,77.89844438,78.13325506,78.33871441,79.0724978,79.0724978,79.0724978,79.21925448,79.86498386
softplus,,,100,100,100,100,100,100,100,100,100,100,100,100,,,80.44444444,81.88888889,81.88888889,90.22222222,90.22222222,90.22222222,90.22222222,90.22222222,90.22222222,90.22222222,90.22222222,90.22222222
softshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,,90.75203252,92.27642276,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398,99.89837398
softsign,,,99.95934133,99.95934133,100,100,100,100,100,100,100,100,100,100,,,81.94755032,83.04533442,83.2079691,83.57389713,83.85850783,83.85850783,89.20512299,89.20512299,89.20512299,89.22545233,89.22545233,89.22545233
tanhshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,,84.46521859,84.93263679,84.96013198,84.96013198,86.85729997,87.87462194,87.87462194,87.92961232,87.92961232,88.80945834,88.80945834,88.80945834
threshold,,,99.91762768,99.95881384,99.95881384,100,100,100,100,100,100,100,100,100,,,68.82207578,68.94563427,68.94563427,69.06919275,69.06919275,70.55189456,70.67545305,70.67545305,70.67545305,71.45799012,71.91103789,71.91103789
triplet_margin_loss,,,99.21768285,99.61505029,99.72680988,99.73922762,99.83856948,99.90065814,99.90065814,99.9254936,99.9254936,99.9254936,99.9254936,100,,,65.31727307,68.21060474,69.63864398,71.68756985,72.51955793,73.31429281,73.91034397,74.10902769,74.5312306,74.65540792,74.71749659,74.71749659
triplet_margin_with_distance_loss,,,99.68449519,99.69951923,99.8046875,99.89483173,99.96995192,99.96995192,99.96995192,99.98497596,99.98497596,99.98497596,100,100,,,71.72475962,74.32391827,76.24699519,77.55408654,78.00480769,78.75600962,78.92127404,80.40865385,81.38521635,81.38521635,81.92608173,82.33173077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,,99.97710098,100,100,100,100,100,100,100,100,100,100,100,,,78.2278481,81.88888889,82.75646372,83.57389713,86.30854897,86.35294118,87.87462194,87.92961232,89.20512299,90.27624309,90.27624309,91.2514828
median,,,99.81837445,99.90918723,99.95165579,99.96972908,99.98778551,100,100,100,100,100,100,100,,,65.31727307,68.7664042,70.65595716,74.53343701,75.37688442,76.51006711,78.33871441,79.0724978,80.51624831,81.0049947,81.30232558,81.30232558
lower quartile,,,96.13075384,98.26821542,98.82550336,99.34530095,99.6092925,99.66209081,99.80735889,99.93397161,99.96194101,99.98470012,99.98778551,100,,,33.78598588,41.27979925,45.89325355,56.37982196,58.84897681,59.83206934,59.91332611,60.21126761,61.70391061,62.08100559,62.48603352,65.85756812
