Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
embedding_bag,1728.8,,757.4,861.4,1254.8,1439.4,1573.6,1630.6,1663.6,1696.8,1713.2,1719,1726.2,1728.8,,,447.4,496.6,609.6,637.8,650.2,654.4,656.2,657.2,658,682,682,683
feature_alpha_dropout,827.4,,826,826.8,827,827,827.4,827.4,827.4,827.4,827.4,827.4,827.4,827.4,,,670.8,679.2,679.4,679.4,683.2,683.2,689,698.8,705,705,709.2,714.2
gelu,340,,340,340,340,340,340,340,340,340,340,340,340,340,,,29.8,29.8,35.6,35.6,35.6,35.6,40.2,45.6,45.6,45.6,45.6,45.6
gumbel_softmax,1136.8,,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,,,945,950.2,1014.4,1045.2,1052.4,1088.4,1088.8,1088.8,1113.2,1113.2,1114,1114
hardshrink,181,,181,181,181,181,181,181,181,181,181,181,181,181,,,107,107,107,145.4,145.4,145.4,145.4,148.2,166,181,181,181
hardtanh,873.4,,873.2,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,,,479.2,484,484.2,521.8,561.8,562,567.8,567.8,567.8,569.4,570.8,575.2
hinge_embedding_loss,1548.6,,1546.4,1547,1547.4,1547.8,1548,1548,1548.2,1548.2,1548.4,1548.6,1548.6,1548.6,,,1154.6,1241.4,1260,1291.4,1303.4,1329.4,1333.4,1347.8,1359.2,1365,1365.6,1372.4
huber_loss,1038.2,,1032.8,1035,1035.8,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2,1037.2,1037.2,1038.2,,,706,839.6,903.4,938,942.8,962.6,963.6,969.6,973.8,978.2,982.2,986.6
instance_norm,1420.2,,1255.8,1285.8,1307.2,1312.8,1315.6,1317.8,1320.6,1322.4,1322.4,1323.4,1419,1420.2,,,877.6,892,903.6,911.8,914,915.2,929.4,931.6,931.8,931.8,931.8,942.6
interpolate,3529,,2200.8,2627,2920.6,3065,3191.8,3275.4,3314.8,3348.6,3416.4,3454.6,3491.6,3529,,,493.4,604,680.4,743.6,781,793.2,821.4,877.2,883.6,883.8,885,885
kl_div,990.6,,990.2,990.4,990.4,990.4,990.4,990.6,990.6,990.6,990.6,990.6,990.6,990.6,,,680.2,681.2,681.2,681.2,682.4,682.4,682.4,682.4,682.4,682.4,682.4,682.4
