Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
embedding_bag,1773.2,,757.4,861.4,1254.8,1439.4,1573.6,1630.6,1663.6,1696.8,1713.2,1719,1726.2,1728.8,,731.8,884.2,1173,1240.6,1385.2,1440.2,1543.6,1600.4,1714.8,1719.4,1745.4,1773.2
feature_alpha_dropout,827.4,,826,826.8,827,827,827.4,827.4,827.4,827.4,827.4,827.4,827.4,827.4,,825.6,826.2,826.2,826.2,826.2,826.2,826.2,826.2,826.2,826.2,826.2,826.2
gelu,340,,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,340,340,340,340,340,340,340,340,340
gumbel_softmax,1136.8,,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,1136.8,,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4,1136.4
hardshrink,181,,181,181,181,181,181,181,181,181,181,181,181,181,,181,181,181,181,181,181,181,181,181,181,181,181
hardtanh,874.4,,873.2,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,873.4,,874.2,874.2,874.2,874.2,874.2,874.2,874.2,874.2,874.4,874.4,874.4,874.4
hinge_embedding_loss,1549.2,,1546.4,1547,1547.4,1547.8,1548,1548,1548.2,1548.2,1548.4,1548.6,1548.6,1548.6,,1544.8,1545.6,1547.8,1548,1548.2,1548.6,1548.8,1548.8,1548.8,1549.2,1549.2,1549.2
huber_loss,1038.2,,1032.8,1035,1035.8,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2,1037.2,1037.2,1038.2,,1032.2,1034.4,1035.4,1035.4,1036.8,1037.2,1037.4,1037.4,1037.4,1037.4,1037.4,1037.4
instance_norm,1420.2,,1255.8,1285.8,1307.2,1312.8,1315.6,1317.8,1320.6,1322.4,1322.4,1323.4,1419,1420.2,,1256.4,1283.4,1299.2,1304.8,1313.6,1321.6,1324.2,1326,1328.4,1329.2,1329.4,1329.4
interpolate,3529,,2200.8,2627,2920.6,3065,3191.8,3275.4,3314.8,3348.6,3416.4,3454.6,3491.6,3529,,2012,2593.6,2938.2,3068.6,3205,3256.8,3310,3348.2,3386,3408.8,3432.4,3459.8
kl_div,991.2,,990.2,990.4,990.4,990.4,990.4,990.6,990.6,990.6,990.6,990.6,990.6,990.6,,990.8,991.2,991.2,991.2,991.2,991.2,991.2,991.2,991.2,991.2,991.2,991.2
l1_loss,1405.8,,1403.6,1405,1405.2,1405.4,1405.4,1405.6,1405.6,1405.6,1405.6,1405.6,1405.6,1405.6,,1403.6,1404.8,1404.8,1405,1405.2,1405.2,1405.2,1405.2,1405.2,1405.6,1405.8,1405.8
layer_norm,1120.8,,301.6,533.4,772.6,923.8,1023.6,1106.2,1118.4,1120.6,1120.8,1120.8,1120.8,1120.8,,336.6,534.8,862,1089.2,1118.6,1120,1120.4,1120.4,1120.4,1120.4,1120.4,1120.4
leaky_relu,337,,336.6,337,337,337,337,337,337,337,337,337,337,337,,337,337,337,337,337,337,337,337,337,337,337,337
