Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
l1_loss,,,99.84350548,99.9430929,99.95731968,99.97154645,99.97154645,99.98577323,99.98577323,99.98577323,99.98577323,99.98577323,99.98577323,99.98577323,,99.84350548,99.92886613,99.92886613,99.9430929,99.95731968,99.95731968,99.95731968,99.95731968,99.95731968,99.98577323,100,100
layer_norm,,,26.90935046,47.59100642,68.93290507,82.42326909,91.32762313,98.69735903,99.78586724,99.9821556,100,100,100,100,,30.03211991,47.7159172,76.90935046,97.1805853,99.80371163,99.92862241,99.96431121,99.96431121,99.96431121,99.96431121,99.96431121,99.96431121
leaky_relu,,,99.88130564,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
linear,,,94.19042878,96.99921781,97.7671905,98.2791723,98.70582379,98.95470383,99.16091872,99.38135533,99.48090735,99.68001138,99.7440091,100,,93.75666643,95.22861409,95.93969992,96.2667994,96.66500747,96.82855721,97.11299154,97.61786248,97.8525208,98.01607054,98.22939629,98.37161345
local_response_norm,,,99.96287129,99.96287129,99.97524752,99.97524752,99.97524752,99.97524752,99.97524752,99.98762376,100,100,100,100,,99.98762376,99.98762376,99.98762376,99.98762376,99.98762376,99.98762376,99.98762376,99.98762376,99.98762376,100,100,100
log_softmax,,,99.83935743,99.94645248,100,100,100,100,100,100,100,100,100,100,,99.70548862,99.91967871,100,100,100,100,100,100,100,100,100,100
logsigmoid,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
lp_pool1d,,,99.39192924,99.88944168,99.88944168,99.88944168,99.98157361,99.98157361,99.98157361,99.98157361,99.98157361,99.98157361,99.98157361,99.98157361,,99.98157361,99.98157361,99.98157361,99.98157361,99.98157361,100,100,100,100,100,100,100
lp_pool2d,,,99.95829858,100,100,100,100,100,100,100,100,100,100,100,,99.49958299,99.91659716,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858,99.95829858
margin_ranking_loss,,,99.19955324,99.36708861,99.36708861,99.51600894,99.51600894,99.55323902,99.72077439,99.72077439,99.72077439,99.72077439,99.79523455,99.79523455,,99.06924795,99.29262844,99.44154877,99.55323902,99.60908414,99.72077439,99.81384959,99.83246463,99.96276992,100,100,100
max_pool1d,,,96.41169263,98.44214948,100,100,100,100,100,100,100,100,100,100,,97.47943287,99.33485034,99.33485034,99.33485034,99.33485034,99.66742517,99.66742517,99.66742517,99.66742517,99.66742517,99.66742517,99.66742517
max_pool2d,,,94.18300654,95.83877996,96.75381264,96.75381264,97.58169935,97.60348584,97.60348584,97.97385621,97.97385621,97.97385621,97.97385621,97.97385621,,96.5795207,98.80174292,98.80174292,99.23747277,99.97821351,100,100,100,100,100,100,100
max_unpool1d,,,98.41860465,100,100,100,100,100,100,100,100,100,100,100,,99.95348837,100,100,100,100,100,100,100,100,100,100,100
max_unpool2d,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
max_unpool3d,,,92.27642276,95.52845528,95.77235772,95.77235772,95.77235772,95.77235772,96.91056911,96.91056911,96.91056911,96.91056911,96.91056911,96.91056911,,89.3495935,95.20325203,95.36585366,95.69105691,96.17886179,96.17886179,97.07317073,99.10569106,100,100,100,100
mish,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
mse_loss,,,99.44814462,99.58135109,99.67649857,99.88582303,99.88582303,99.88582303,99.94291151,99.94291151,99.96194101,100,100,100,,99.41008563,99.48620362,99.5432921,99.5432921,99.65746908,99.65746908,99.65746908,99.65746908,99.65746908,99.65746908,99.65746908,99.75261656
multilabel_margin_loss,,,99.54788327,99.7944924,99.91779696,99.91779696,100,100,100,100,100,100,100,100,,99.17796958,99.34237567,99.42457871,99.58898479,99.58898479,99.75339088,99.7944924,99.7944924,99.7944924,99.7944924,99.7944924,99.7944924
multilabel_soft_margin_loss,,,99.49600278,99.60027807,99.68717414,99.68717414,99.70455335,99.8783455,99.98262079,99.98262079,100,100,100,100,,99.56551964,99.65241571,99.89572471,99.91310393,99.93048314,99.93048314,99.93048314,99.94786236,99.94786236,99.94786236,99.94786236,99.94786236
nll_loss,,,57.11125158,65.28128951,73.482933,79.51959545,87.89506953,91.54551201,93.99494311,96.15992415,97.36093552,97.40834387,98.71997472,100,,58.15423515,70.62262958,74.22566372,76.61188369,79.04551201,82.80657396,85.74589128,90.21807838,91.00821745,92.06700379,94.99051833,96.00189633
normalize,,,99.65246298,99.74312481,99.80356603,99.80356603,99.83378664,99.83378664,99.83378664,99.83378664,99.83378664,99.83378664,99.83378664,99.83378664,,99.65246298,99.66757328,99.75823512,99.75823512,99.87911756,99.87911756,99.93955878,99.93955878,99.93955878,99.93955878,99.93955878,100
pad,,,97.61351637,98.26821542,99.22914467,99.34530095,99.6092925,99.66209081,99.89440338,99.92608237,99.98944034,99.98944034,99.98944034,100,,96.16684266,97.66631468,98.39493136,98.42661035,99.01795143,99.23970433,99.23970433,99.36642027,99.3875396,99.41921859,99.50369588,99.53537487
pairwise_distance,,,99.94414188,99.94414188,99.95810641,99.97207094,99.97207094,99.97207094,99.97207094,99.97207094,99.97207094,99.97207094,99.97207094,99.98603547,,99.90224829,99.98603547,99.98603547,99.98603547,100,100,100,100,100,100,100,100
pixel_unshuffle,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
poisson_nll_loss,,,99.43703704,99.54074074,99.7037037,99.74814815,99.74814815,99.86666667,99.86666667,99.91111111,99.91111111,99.91111111,99.91111111,99.91111111,,99.80740741,99.94074074,99.94074074,99.94074074,99.94074074,99.95555556,99.95555556,99.95555556,100,100,100,100
prelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
relu,,,94.72598028,97.61522587,99.01398762,99.97706948,99.97706948,99.97706948,99.97706948,99.97706948,99.97706948,99.97706948,99.97706948,99.97706948,,94.19857831,96.14767255,98.07383628,98.07383628,99.03691814,99.03691814,99.03691814,99.03691814,99.03691814,99.03691814,99.03691814,100
relu6,,,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,99.9535208,,100,100,100,100,100,100,100,100,100,100,100,100
rrelu,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445,99.30949445
selu,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
silu,,,99.91181658,100,100,100,100,100,100,100,100,100,100,100,,99.82363316,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658,99.91181658
smooth_l1_loss,,,99.72103403,99.77682723,99.79542496,99.79542496,99.79542496,99.79542496,99.79542496,99.88841361,99.88841361,99.88841361,99.90701134,100,,99.51645899,99.62804538,99.72103403,99.73963176,99.73963176,99.73963176,99.73963176,99.7582295,99.7582295,99.7582295,99.7582295,99.85121815
soft_margin_loss,,,98.66534849,98.73125721,98.73125721,98.9784149,98.9784149,99.22557258,99.47273027,99.47273027,99.47273027,99.47273027,99.75284231,100,,97.90739825,97.95682979,98.20398748,98.45114516,98.46762234,98.96193772,98.96193772,98.96193772,99.2090954,99.2090954,99.2090954,99.2090954
softmax,,,99.93894994,100,100,100,100,100,100,100,100,100,100,100,,99.93894994,100,100,100,100,100,100,100,100,100,100,100
softmin,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.70648665,99.88259466,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599,99.91194599
softplus,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
softshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,99.69512195,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797,99.79674797
softsign,,,99.93902439,99.93902439,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,99.9796748,,100,100,100,100,100,100,100,100,100,100,100,100
tanhshrink,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
threshold,,,99.91762768,99.95881384,99.95881384,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
triplet_margin_loss,,,99.21768285,99.61505029,99.72680988,99.73922762,99.83856948,99.90065814,99.90065814,99.9254936,99.9254936,99.9254936,99.9254936,100,,98.94449274,99.23010058,99.35427791,99.41636657,99.65230349,99.66472122,99.78889855,99.78889855,99.78889855,99.80131628,99.80131628,99.93791134
triplet_margin_with_distance_loss,,,99.54988747,99.56489122,99.66991748,99.75993998,99.83495874,99.83495874,99.83495874,99.84996249,99.84996249,99.84996249,99.86496624,99.86496624,,99.51987997,99.60990248,99.71492873,99.80495124,99.87996999,99.90997749,99.92498125,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,,99.9535208,100,100,100,100,100,100,100,100,100,100,100,,99.98762376,100,100,100,100,100,100,100,100,100,100,100
median,,,99.80559876,99.8853962,99.91814014,99.93451212,99.95088409,99.9535208,99.96113486,99.97207094,99.97706948,99.98157361,99.98157361,100,,99.70648665,99.88259466,99.90963078,99.91310393,99.93545056,99.95555556,99.96086106,99.96481351,99.98055988,100,100,100
lower quartile,,,95.004995,97.61522587,98.73125721,99.34530095,99.51600894,99.55323902,99.7323022,99.80735889,99.80735889,99.83378664,99.8373102,99.96086106,,96.16684266,97.95682979,98.43283582,98.67632368,99.33485034,99.64552239,99.65746908,99.65746908,99.78889855,99.79674797,99.82643911,99.92294356
